GO.ID	Term	Annotated	Significant	Expected	Q.value
GO:0008150	biological_process	1313	289	269.31	0.00622195979220375
GO:0000394	RNA splicing, via endonucleolytic cleava...	24	13	4.92	0.245782913408707
GO:0006091	generation of precursor metabolites and ...	69	16	14.15	0.245782913408707
GO:0006098	pentose-phosphate shunt	12	4	2.46	0.245782913408707
GO:0006555	methionine metabolic process	16	9	3.28	0.245782913408707
GO:0006739	NADP metabolic process	14	4	2.87	0.245782913408707
GO:0006811	ion transport	82	26	16.82	0.245782913408707
GO:0006970	response to osmotic stress	100	28	20.51	0.245782913408707
GO:0008380	RNA splicing	48	18	9.85	0.245782913408707
GO:0009067	aspartate family amino acid biosynthetic...	16	9	3.28	0.245782913408707
GO:0009086	methionine biosynthetic process	16	9	3.28	0.245782913408707
GO:0009651	response to salt stress	94	27	19.28	0.245782913408707
GO:0009664	plant-type cell wall organization	28	11	5.74	0.245782913408707
GO:0009825	multidimensional cell growth	15	9	3.08	0.245782913408707
GO:0009832	plant-type cell wall biogenesis	31	12	6.36	0.245782913408707
GO:0009888	tissue development	119	36	24.41	0.245782913408707
GO:0010015	root morphogenesis	61	23	12.51	0.245782913408707
GO:0010054	trichoblast differentiation	46	18	9.44	0.245782913408707
GO:0015979	photosynthesis	24	3	4.92	0.245782913408707
GO:0019682	glyceraldehyde-3-phosphate metabolic pro...	35	11	7.18	0.245782913408707
GO:0019684	photosynthesis, light reaction	20	2	4.1	0.245782913408707
GO:0030001	metal ion transport	42	15	8.61	0.245782913408707
GO:0040007	growth	96	31	19.69	0.245782913408707
GO:0044281	small molecule metabolic process	284	71	58.25	0.245782913408707
GO:0045893	positive regulation of transcription, DN...	44	7	9.02	0.245782913408707
GO:0045935	positive regulation of nucleobase-contai...	45	7	9.23	0.245782913408707
GO:0048469	cell maturation	46	18	9.44	0.245782913408707
GO:0048764	trichoblast maturation	46	18	9.44	0.245782913408707
GO:0048765	root hair cell differentiation	46	18	9.44	0.245782913408707
GO:0048767	root hair elongation	29	14	5.95	0.245782913408707
GO:0050896	response to stimulus	517	122	106.04	0.245782913408707
GO:0051156	glucose 6-phosphate metabolic process	12	4	2.46	0.245782913408707
GO:0051254	positive regulation of RNA metabolic pro...	44	7	9.02	0.245782913408707
GO:0071669	plant-type cell wall organization or bio...	45	17	9.23	0.245782913408707
GO:0080147	root hair cell development	29	14	5.95	0.245782913408707
GO:1902680	positive regulation of RNA biosynthetic ...	44	7	9.02	0.245782913408707
GO:1903508	positive regulation of nucleic acid-temp...	44	7	9.02	0.245782913408707
GO:0006470	protein dephosphorylation	18	3	3.69	0.248848506856827
GO:0006888	ER to Golgi vesicle-mediated transport	11	7	2.26	0.248848506856827
GO:0010053	root epidermal cell differentiation	47	18	9.64	0.248848506856827
GO:0022622	root system development	72	24	14.77	0.248848506856827
GO:0044085	cellular component biogenesis	160	37	32.82	0.248848506856827
GO:0048364	root development	72	24	14.77	0.248848506856827
GO:0048588	developmental cell growth	38	16	7.79	0.248848506856827
GO:0090627	plant epidermal cell differentiation	47	18	9.64	0.248848506856827
GO:0015711	organic anion transport	22	9	4.51	0.250847078846287
GO:0042546	cell wall biogenesis	47	16	9.64	0.25200019164253
GO:0006139	nucleobase-containing compound metabolic...	342	75	70.15	0.262225685906147
GO:0006461	protein complex assembly	81	17	16.61	0.262225685906147
GO:0006633	fatty acid biosynthetic process	19	9	3.9	0.262225685906147
GO:0006732	coenzyme metabolic process	79	21	16.2	0.262225685906147
GO:0006733	oxidoreduction coenzyme metabolic proces...	61	14	12.51	0.262225685906147
GO:0006816	calcium ion transport	23	9	4.72	0.262225685906147
GO:0006820	anion transport	33	12	6.77	0.262225685906147
GO:0006950	response to stress	320	76	65.64	0.262225685906147
GO:0007010	cytoskeleton organization	89	29	18.25	0.262225685906147
GO:0009066	aspartate family amino acid metabolic pr...	19	9	3.9	0.262225685906147
GO:0009668	plastid membrane organization	18	3	3.69	0.262225685906147
GO:0009698	phenylpropanoid metabolic process	12	6	2.46	0.262225685906147
GO:0009889	regulation of biosynthetic process	152	36	31.18	0.262225685906147
GO:0010027	thylakoid membrane organization	18	3	3.69	0.262225685906147
GO:0015849	organic acid transport	18	7	3.69	0.262225685906147
GO:0015980	energy derivation by oxidation of organi...	12	7	2.46	0.262225685906147
GO:0016043	cellular component organization	331	74	67.89	0.262225685906147
