"","ProbeName","oil_1_1_Median","oil_1_3_Median","oil_2_4_Median","oil_2_5_Median","oil_2_6_Median","oil_3_7_Median","oil_3_8_Median","oil_3_9_Median","no_4_10_Median","no_4_11_Median","no_5_13_Median","no_5_14_Median","no_5_15_Median","no_6_16_Median","no_6_17_Median","no_6_18_Median","oil_1_19_Median","no_4_20_Median","geneSymbol","LocusLinkID","moduleColor"
"1","CUST_10000_PI428634872",0.741710006,0.720085094,0.923426156,0.648974248,0.936550077,0.515261992,0.420189829,0.311162616,0.309445566,0.661466357,0.876008194,0.935331793,1.038111962,0.136778273,0.27889308,0.206546736,0.73448434,0.808356351,"S_alt_contig03743","AT5G41580","brown"
"2","CUST_10019_PI428634872",0.929581687,0.375328926,0.648883552,0.690344788,0.790611095,1.073165048,1.059201005,1.154060308,1.147640939,0.893129456,1.324359847,1.19757549,1.041943907,1.143969761,1.213178071,1.188045389,0.710976171,0.805974583,"S_alt_contig03768","AT2G38090","brown"
"3","CUST_10025_PI428634872",-1.063371488,-0.571464382,-0.831915816,-0.832854601,-1.034110074,-0.622905829,-0.664785407,-0.829609065,-0.940686487,-1.051968107,-0.996801922,-1.045061661,-1.020295645,-1.091823267,-1.101539158,-1.249227047,-0.869007164,-0.740313818,"S_alt_contig03774","AT3G01160","brown"
"4","CUST_10032_PI428634872",-4.572615552,-4.669563825,-4.176754808,-4.789881508,-3.82600065,-5.209120778,-4.216331368,-6.557264862,-3.618980314,-5.772324167,-6.375659035,-5.383506807,-5.191648215,-7.456298066,-6.525053328,-6.907007175,-4.910995687,-5.942152644,"S_alt_contig03781_RC","AT1G27920","brown"
"5","CUST_10034_PI428634872",2.431349855,2.436809727,2.869490228,2.996221448,2.822017378,2.89430456,2.858900813,3.264465491,3.358823648,3.028752482,2.820922177,2.935946791,2.870403772,3.317073051,3.042765184,3.259557773,2.647467135,2.78519182,"S_alt_contig03783","AT3G02520","brown"
"6","CUST_10037_PI428634872",0.219335871,-0.060327242,0.427960243,0.686566138,0.719436873,0.719065553,0.626030013,1.042170164,0.833008529,0.98422273,0.885627332,0.809773182,0.861241346,1.053991302,1.056618348,1.034589713,0.904037241,0.647770797,"S_alt_contig03786_NB",NA,"brown"
"7","CUST_10045_PI428634872",0.953864263,1.260031222,1.651286823,1.788461617,1.460606796,2.037979866,2.065915177,2.120867349,1.909007449,1.98528006,1.46168549,1.645536955,1.688079462,2.225552601,2.367854475,2.171815003,1.504585482,1.58704437,"S_alt_contig03797","AT1G26690","brown"
"8","CUST_1005_PI428634872",0.379804857,0.731828813,0.641403153,0.905037147,0.582702639,1.151372736,0.951143691,1.195718571,0.48899331,0.921640166,0.543131123,0.339507676,0.364842488,1.207065475,1.258473127,1.290583374,1.081823533,0.391024477,"S_5sp_contig21263","AT2G33990","brown"
"9","CUST_10059_PI428634872",1.978150436,1.626119266,2.191845399,2.207657526,2.1204245,2.316084708,2.586309787,2.331206051,2.789492172,2.368715051,2.355345563,2.255275157,2.260998234,2.888735854,2.840565366,2.798029318,2.13794721,2.268599279,"S_alt_contig03816","AT2G24390","brown"
"10","CUST_1006_PI428634872",-0.370147223,-0.203982073,-0.096502357,-0.063230695,-0.245125279,-0.027511693,-0.155157056,-0.183019265,-0.198272358,-0.071718456,-0.066919634,-0.119105713,-0.013145493,-0.13725044,-0.061471437,-0.041775473,-0.03158474,-0.070205136,"S_5sp_contig21277_RC","AT3G58580","brown"
"11","CUST_10062_PI428634872",-1.759939711,-0.38581997,-1.37421589,-1.388620624,-1.766226546,-1.527300943,-1.559959033,-1.437607986,-1.653215362,-1.612634898,-1.547946185,-1.668131766,-1.601920329,-1.756712701,-1.840067117,-1.672096027,-1.360752586,-1.520671445,"S_alt_contig03820","AT2G17980","brown"
"12","CUST_10070_PI428634872",-0.749222901,-0.737041806,-1.135262024,-1.039159234,-0.914909975,-1.242991768,-1.056852349,-1.278641068,-1.342063124,-1.202599457,-0.955570485,-1.044981143,-1.159992785,-1.821928778,-1.855815081,-2.002309882,-1.041376696,-1.200311795,"S_alt_contig03829_RC","AT3G05940","brown"
"13","CUST_10096_PI428634872",0.786992627,0.011480611,1.251958831,1.276649342,1.156550166,1.480641549,-0.152630412,1.581975191,2.282874832,1.885121352,2.525510231,2.204882996,2.345034843,2.711025631,2.434034127,2.353900059,1.856090879,1.346851063,"S_alt_contig03867_NB",NA,"brown"
"14","CUST_10125_PI428634872",1.627060794,0.848160423,1.886584591,1.976857573,1.353951406,1.283357949,0.626655297,2.003529019,1.93937415,1.370926569,1.57197185,1.941062494,1.808519712,2.886744319,2.009614009,2.486279985,1.238127838,0.488395604,"S_alt_contig03909_RC","AT1G23120","brown"
"15","CUST_10126_PI428634872",1.459970782,0.656487167,1.786571779,1.82124424,1.205117577,1.220338818,0.457017449,1.862309756,1.786620904,1.239164107,1.523071551,1.808072146,1.671635183,2.791170975,1.893440625,2.385089471,1.092541749,0.363291498,"S_alt_contig03910_RC","AT1G23120","brown"
"16","CUST_10149_PI428634872",1.106058817,1.097037067,1.440074098,1.50287936,1.44185579,1.641721994,1.412797499,1.743754839,1.401020669,1.449263687,1.483083234,1.477303998,1.46481734,1.836154773,1.851491226,1.694479584,1.364872639,1.607661001,"S_alt_contig03938","AT4G02720","brown"
"17","CUST_1015_PI428634872",-1.326287967,-0.992983313,-1.087815871,-0.809490777,-1.164258209,-0.59821126,-0.709798824,-0.14610063,-0.126949877,-0.231531647,-0.861367203,-0.95619003,-0.79012072,0.044920816,-0.294140818,-0.210990235,-1.203102627,-0.875074427,"S_5sp_contig21459","AT1G11890","brown"
"18","CUST_10152_PI428634872",1.109728876,0.45621969,0.726091061,0.856833232,0.929207257,0.763629269,0.611911186,0.147519772,0.359071988,0.262293991,0.735693439,0.601174047,0.715457342,0.120230016,0.230869192,0.25546133,0.619726716,0.512818143,"S_alt_contig03941","AT3G53130","brown"
"19","CUST_10169_PI428634872",-4.449529893,-4.237700679,-3.429775396,-4.40732195,-4.14627126,-3.98882487,-3.453272998,-3.892402529,-3.556538558,-3.439237408,-3.714268578,-3.680063287,-3.814241571,-3.43420247,-3.695435847,-3.53587396,-3.718172198,-3.372962579,"S_alt_contig03961","AT3G48140","brown"
"20","CUST_10174_PI428634872",-1.724069486,-0.259046113,-1.511698097,-1.59617521,-1.685069393,-2.067868534,-1.939437673,-2.145238347,-1.473103657,-1.416912324,-1.291151356,-1.253500332,-1.056438642,-2.149951267,-2.119714532,-1.904239833,-1.976531552,-1.299782303,"S_alt_contig03966","AT5G43310","brown"
"21","CUST_10177_PI428634872",0.881145092,0.550517873,1.159943392,1.264101272,1.25809925,1.686970306,1.636306026,1.777839753,1.209637589,1.689830097,1.304745349,1.175782949,1.005387394,1.989600859,1.78610989,2.013650143,1.014975299,1.55862803,"S_alt_contig03971","AT2G30100","brown"
"22","CUST_10185_PI428634872",-5.514482284,-5.278958202,-5.585179414,-4.959034631,-4.658140865,-5.008176119,-4.927016076,-4.780459483,-4.935472254,-4.984076988,-5.234906613,-4.926216336,-4.950097848,-5.143604488,-5.049253393,-4.975171693,-5.181235868,-5.580780859,"S_alt_contig03979","AT3G46060","brown"
