"","ProbeName","geneSymbol","LocusLinkID","moduleColor","GS.Treatment","p.GS.Treatment","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.brown","p.MM.brown"
"CUST_2801_PI428634872","CUST_2801_PI428634872","S_5sp_contig33575","AT2G21045","blue",-0.958143275990192,4.15350506382201e-10,-0.860502756046091,4.6109898361143e-06,0.958874092102859,3.61594142366597e-10,0.773481347883369,0.000166363372837512
"CUST_9063_PI428634872","CUST_9063_PI428634872","S_alt_contig02541","AT1G07960","blue",0.953399793945008,9.65757434417964e-10,0.853250964728327,6.75251968152638e-06,-0.867374552968441,3.14857704352168e-06,-0.73796624118897,0.000471879278257327
"CUST_1210_PI428634872","CUST_1210_PI428634872","S_5sp_contig23111","AT1G53400","blue",0.951342586954201,1.35557187066443e-09,0.934905249977852,1.31995434133392e-08,-0.881783351011528,1.31536802651024e-06,-0.855324558173578,6.06737707730363e-06
"CUST_7162_PI428634872","CUST_7162_PI428634872","S_5sp_contig51454","AT3G47070","blue",-0.943234176225341,4.5334458926147e-09,-0.887865717691501,8.79324470148961e-07,0.903864467204227,2.70327886357673e-07,0.818269165196713,3.32383772497536e-05
"CUST_13752_PI428634872","CUST_13752_PI428634872","S_alt_contig10391_RC","AT2G20420","blue",-0.940616590523284,6.44808817727256e-09,-0.914815122438723,1.06435138845707e-07,0.925580167776664,3.73878668772578e-08,0.820664841323616,3.01319850567174e-05
"CUST_13782_PI428634872","CUST_13782_PI428634872","S_alt_contig10446_RC","AT5G28650","blue",-0.939901440127332,7.0799785950181e-09,-0.776733947982787,0.000149845296757258,0.814168682939348,3.9189915800648e-05,0.703798822878631,0.0011159323726121
"CUST_4665_PI428634872","CUST_4665_PI428634872","S_5sp_contig41473","AT4G18740","blue",-0.93545019555099,1.23625206293757e-08,-0.76058625525468,0.000247844591463998,0.969143570522141,3.75099292806499e-11,0.663532956050573,0.00268002406277971
"CUST_4858_PI428634872","CUST_4858_PI428634872","S_5sp_contig41860","AT1G76730","blue",-0.935131343858119,1.28464829768796e-08,-0.895919719047943,4.97249675144648e-07,0.893403150025802,5.97074663572355e-07,0.772358924182731,0.000172409305930306
"CUST_7404_PI428634872","CUST_7404_PI428634872","S_alt_contig00309_RC","AT3G05950","blue",-0.931284453462989,2.01187596177295e-08,-0.876223734790012,1.86558462793047e-06,0.852005636839863,7.19507090652393e-06,0.733479200883863,0.000532149960472445
"CUST_3928_PI428634872","CUST_3928_PI428634872","S_5sp_contig39992","AT2G35840","blue",-0.927988989346402,2.89579408224212e-08,-0.891830372784642,6.67872833669616e-07,0.848413390587459,8.61372974164503e-06,0.810637727242694,4.50200638601633e-05
"CUST_9320_PI428634872","CUST_9320_PI428634872","S_alt_contig02863_NB",NA,"blue",-0.925489223119675,3.77439357834286e-08,-0.880477316414347,1.43009918292039e-06,0.846126484606154,9.63652763871939e-06,0.79382384910305,8.39969389824903e-05
"CUST_16353_PI428634872","CUST_16353_PI428634872","S_alt_contig15948_RC","AT5G20090","blue",-0.925029111087805,3.95908144208732e-08,-0.907953347504892,1.93476873797982e-07,0.879387062696886,1.53237693647568e-06,0.798950401606252,6.98767459462774e-05
"CUST_15971_PI428634872","CUST_15971_PI428634872","S_alt_contig14746","AT1G56450","blue",0.924631637573024,4.12488356839818e-08,0.790186100963917,9.54249053703997e-05,-0.846237196419562,9.58472075368481e-06,-0.732760963672215,0.000542371163290513
"CUST_14661_PI428634872","CUST_14661_PI428634872","S_alt_contig11883","AT2G46820","blue",-0.922387443950165,5.17874732758879e-08,-0.875114605599231,1.99632136204101e-06,0.949213339954137,1.89666605792556e-09,0.753709428876905,0.00030357380374708
"CUST_12178_PI428634872","CUST_12178_PI428634872","S_alt_contig07678","AT5G01650","blue",-0.920854850126288,6.02592741071904e-08,-0.769025108234187,0.000191473148251258,0.964054567626117,1.25186953361299e-10,0.637331135114409,0.00444118853410229
"CUST_7616_PI428634872","CUST_7616_PI428634872","S_alt_contig00611","AT1G48030","blue",-0.917582075049212,8.24574109086038e-08,-0.880563616231414,1.42226073826649e-06,0.851580813796065,7.35162182250647e-06,0.82937739978238,2.08291134042873e-05
"CUST_16235_PI428634872","CUST_16235_PI428634872","S_alt_contig15574","AT4G20150","blue",-0.91686421668094,8.81771989651213e-08,-0.91184727598149,1.38647970712233e-07,0.869519269378109,2.78312453020563e-06,0.860093518020983,4.71395569255352e-06
"CUST_5448_PI428634872","CUST_5448_PI428634872","S_5sp_contig43072","AT1G55080","blue",-0.916594586169966,9.04126350027559e-08,-0.860332344649512,4.65362882338432e-06,0.823924492666236,2.63052963436004e-05,0.802330402144807,6.17156397785286e-05
