Sample,Treatment,Site,State
oil_1_1,oil,GIA,Louisiana
oil_1_2,oil,GIA,Louisiana
oil_1_3,oil,GIA,Louisiana
oil_2_4,oil,GIB,Louisiana
oil_2_5,oil,GIB,Louisiana
oil_2_6,oil,GIB,Louisiana
oil_3_7,oil,BSL,Mississippi
oil_3_8,oil,BSL,Mississippi
oil_3_9,oil,BSL,Mississippi
no_4_10,no_oil,GIA,Louisiana
no_4_11,no_oil,GIA,Louisiana
no_4_12,no_oil,GIA,Louisiana
no_5_13,no_oil,GIB,Louisiana
no_5_14,no_oil,GIB,Louisiana
no_5_15,no_oil,GIB,Louisiana
no_6_16,no_oil,BSL,Mississippi
no_6_17,no_oil,BSL,Mississippi
no_6_18,no_oil,BSL,Mississippi
oil_1_19,oil,GIA,Louisiana
no_4_20,no_oil,GIA,Louisiana
