locus	DumasLog2ratio
AT1G26810	Downregulated
AT4G39350	Downregulated
AT3G50740	Downregulated
AT4G12310	Downregulated
AT5G09870	Downregulated
AT1G69500	Downregulated
AT3G59140	Upregulated
AT5G39090	Upregulated
AT1G64930	Upregulated
AT3G14620	Upregulated
AT2G45550	Upregulated
AT2G29940	Upregulated
AT2G12190	Upregulated
AT4G15480	Upregulated
AT3G26200	Upregulated
AT2G29470	Upregulated
AT1G64900	Upregulated
AT1G55850	Upregulated
AT1G05670	Upregulated
AT4G34131	Upregulated
AT2G29460	Upregulated
AT1G78380	Upregulated
AT5G36270	Upregulated
AT3G21560	Upregulated
AT1G75270	Upregulated
AT2G36770	Upregulated
AT1G78340	Upregulated
AT1G05680	Upregulated
AT1G17170	Upregulated
AT1G27120	Upregulated
AT1G11610	Upregulated
AT1G58370	Upregulated
AT2G40890	Downregulated
AT3G26210	Upregulated
AT1G17190	Downregulated
AT3G09270	Upregulated
AT1G60950	Downregulated
AT5G58260	Downregulated
AT4G33010	Downregulated
AT1G11860	Downregulated
AT2G39730	Downregulated
AT4G16980	Downregulated
AT2G45470	Downregulated
AT4G23820	Downregulated
AT5G06860	Upregulated
AT4G37800	Downregulated
AT3G15850	Downregulated
AT5G54500	Upregulated
AT4G38690	Downregulated
AT1G68620	Upregulated
AT5G19550	Upregulated
AT5G65010	Downregulated
AT2G33150	Upregulated
AT1G62570	Upregulated
AT5G45930	Downregulated
AT1G21750	Upregulated
AT1G77510	Upregulated
AT3G24170	Upregulated
AT3G55630	Downregulated
AT3G04000	Upregulated
AT4G13180	Upregulated
AT4G25900	Upregulated
AT2G37760	Upregulated
AT5G63680	Upregulated
AT3G04120	Upregulated
AT5G56630	Upregulated
AT5G17380	Upregulated
AT1G77120	Upregulated
AT2G44350	Upregulated
AT1G55490	Downregulated
AT5G38430	Downregulated
AT1G12780	Downregulated
AT3G29360	Upregulated
AT4G01770	Upregulated
AT3G13520	Upregulated
AT5G10560	Downregulated
AT4G14130	Downregulated
AT1G65290	Upregulated
AT2G05990	Downregulated
AT3G11170	Downregulated
AT1G06550	Downregulated
AT1G48320	Downregulated
AT1G66200	Downregulated
AT5G17920	Downregulated
AT1G69520	Downregulated
AT3G57050	Downregulated
AT3G03780	Downregulated
AT3G04940	Downregulated
AT3G06350	Downregulated
AT3G29200	Downregulated
AT5G38530	Upregulated
AT3G16150	Downregulated
AT1G08630	Downregulated
AT5G17230	Downregulated
AT3G25830	Upregulated
AT5G01210	Downregulated
AT5G47950	Downregulated
AT5G07870	Upregulated
AT5G04230	Downregulated
AT3G19450	Downregulated
AT4G37990	Upregulated
AT5G48930	Downregulated
AT1G74010	Upregulated
AT3G16390	Downregulated
AT1G75280	Upregulated
AT5G52810	Upregulated
AT4G18480	Downregulated
AT5G26030	Upregulated
AT5G51830	Upregulated
AT5G26570	Downregulated
AT3G54420	Upregulated
AT4G29670	Upregulated
AT5G03630	Upregulated
AT4G11600	Upregulated
AT3G26060	Downregulated
AT1G16350	Downregulated
AT1G80050	Downregulated
AT5G03300	Downregulated
AT4G12720	Upregulated
AT5G14780	Downregulated
AT3G59970	Downregulated
AT2G44160	Downregulated
AT4G33420	Upregulated
AT2G44460	Upregulated
AT1G14540	Upregulated
AT1G78680	Upregulated
AT5G62670	Downregulated
AT5G33320	Downregulated
AT1G61800	Upregulated
AT3G23940	Downregulated
AT2G36460	Upregulated
AT5G54960	Upregulated
AT5G24420	Downregulated
AT1G65930	Downregulated
AT3G27380	Upregulated
AT3G06650	Downregulated
AT3G22370	Upregulated
AT3G22840	Upregulated
AT1G51940	Downregulated
AT5G61790	Upregulated
AT2G33380	Upregulated
AT2G41100	Downregulated
AT5G48540	Upregulated
