locus,30m,2h,4h,8h,24h
At1g26810,-0.13,-1.16,-1.71,-1.65,-1.79
At4g39350,0.12,-0.19,-0.25,-1.10,-0.54
At3g50740,0.00,-0.38,-0.02,-0.88,-0.18
At4g12310,-0.33,-0.08,-0.33,-0.88,-0.39
At5g09870,0.11,-0.09,0.08,-0.76,-0.39
At1g69500,-0.14,-0.53,-0.28,-0.71,0.71
At3g59140,-0.15,0.01,0.19,0.76,0.67
At5g39090,0.16,0.55,0.45,0.82,1.05
At1g64930,0.20,0.36,0.92,0.85,0.94
At3g14620,-0.05,0.41,-0.13,0.86,1.40
At2g45550,-0.01,0.11,-0.15,0.91,0.89
At2g29940,-0.06,0.30,0.22,0.96,0.58
At2g12190,-0.04,0.43,1.04,0.97,0.96
At4g15480,0.18,0.47,1.27,1.02,1.40
At3g26200,0.19,0.72,0.66,1.07,1.07
At2g29470,0.12,0.40,0.77,1.14,0.76
At1g64900,-0.03,0.33,1.08,1.16,1.19
At1g55850,-0.09,0.17,-0.25,1.17,0.36
At1g05670,0.20,0.02,0.71,1.30,0.69
At4g34131,0.33,0.38,0.89,1.31,1.38
At2g29460,0.12,0.52,1.00,1.37,0.95
At1g78380,0.10,0.69,1.23,1.45,1.49
At5g36270,0.00,0.55,1.38,1.56,1.74
At3g21560,0.52,1.48,2.21,1.60,1.93
At1g75270,0.36,0.78,1.09,1.60,1.49
At2g36770,-0.02,0.19,0.11,1.65,0.64
At1g78340,0.04,0.56,1.62,1.75,1.69
At1g05680,0.14,-0.05,1.01,1.80,0.83
At1g17170,0.06,0.39,1.57,2.00,2.05
At1g27120,0.00,0.91,2.00,2.30,2.45
At1g11610,0.03,0.09,0.43,0.47,1.12
At1g58370,0.17,0.64,1.13,0.08,-0.86
At2g40890,0.05,-0.66,-0.92,-0.44,-0.74
At3g26210,0.24,0.03,0.37,0.21,1.01
At1g17190,-0.01,-0.19,0.32,-0.31,-1.41
At3g09270,-0.12,0.41,1.15,0.26,1.09
At1g60950,-0.07,-0.12,-0.24,-0.65,-0.72
At5g58260,0.04,-0.01,-0.14,-0.58,-1.05
At4g33010,0.11,0.03,-0.54,-0.97,-0.83
At1g11860,0.00,-0.16,-0.32,-1.17,-1.14
At2g39730,0.13,-0.01,-0.78,-0.71,-0.88
At4g16980,0.07,-0.10,-0.84,-0.54,-1.14
At2g45470,-0.06,0.08,-0.48,-0.55,-0.77
At4g23820,0.25,-0.11,-0.74,-0.74,-0.76
At5g06860,-0.11,-0.11,-0.58,0.21,0.90
At4g37800,0.07,0.07,-0.35,-0.69,-0.56
At3g15850,-0.21,-0.01,-0.68,-0.06,-0.91
At5g54500,0.47,1.12,1.14,1.50,1.79
At4g38690,-0.14,0.12,-0.54,-0.39,-0.71
At1g68620,0.93,2.18,1.68,2.77,2.70
At5g19550,0.04,0.09,0.16,0.19,1.26
At5g65010,-0.03,0.07,-0.15,-0.97,-0.84
At2g33150,-0.25,0.67,-0.42,0.84,0.68
At1g62570,0.05,0.69,0.97,0.68,0.78
At5g45930,-0.06,-0.13,-0.15,-0.88,-0.46
At1g21750,0.12,-0.12,0.21,-0.50,0.93
At1g77510,0.17,0.06,0.43,-0.45,0.96
At3g24170,-0.15,0.19,0.62,0.50,0.73
At3g55630,-0.05,-0.19,-0.23,-0.86,-1.06
At3g04000,0.06,0.95,1.16,1.53,1.23
At4g13180,0.28,0.29,1.03,1.07,1.39
At4g25900,-0.05,0.07,-0.01,0.11,0.82
At2g37760,-0.08,0.05,0.58,0.63,0.82
At5g63680,0.20,0.36,0.64,0.15,0.79
At3g04120,0.25,0.60,0.86,1.09,1.11
At5g56630,0.91,1.59,2.41,1.54,2.53
At5g17380,0.04,0.03,0.35,0.65,1.48
At1g77120,-0.18,0.54,0.25,1.30,1.02
At2g44350,0.18,0.02,0.30,-0.14,0.91
At1g55490,0.03,0.03,-0.10,-0.79,-0.38
At5g38430,0.05,-0.15,-0.30,-0.74,-0.98
At1g12780,-0.25,-0.10,-1.06,0.46,-0.09
At3g29360,-0.07,0.07,0.38,-0.16,0.87
At4g01770,0.06,0.23,0.60,0.07,0.95
At3g13520,0.17,0.57,1.08,1.39,0.88
At5g10560,0.03,-0.22,-0.53,-1.00,-0.56
At4g14130,0.10,-0.14,-0.83,-0.34,-0.67
At1g65290,0.13,0.06,0.13,0.34,2.63
At2g05990,0.25,0.12,-0.18,-0.46,-0.72
At3g11170,0.03,-0.12,-0.30,-0.63,-0.87
At1g06550,0.17,-0.16,0.19,-0.77,-0.62
At1g48320,-0.16,-0.80,-0.78,-0.93,-0.52
At1g66200,0.02,-0.41,-0.26,-1.18,-0.04
At5g17920,0.13,-0.26,-0.41,-1.06,-0.99
At1g69520,-0.06,0.13,0.12,-0.69,0.13
At3g57050,0.11,-0.07,-0.24,-0.77,-0.41
At3g03780,0.15,-0.55,-0.50,-1.66,-2.22
At3g04940,0.00,-0.05,-0.50,-0.70,-0.48
At3g06350,-0.11,-0.25,-0.62,-1.03,-0.85
At3g29200,-0.11,-0.42,-0.39,-0.95,-0.96
At5g38530,0.08,0.09,0.50,0.18,0.68
At3g16150,-0.04,-0.57,-1.48,0.23,-0.36
At1g08630,0.06,-0.54,-1.81,-0.92,-1.62
At5g17230,0.11,-0.16,-0.08,-0.86,-0.27
At3g25830,-0.04,0.45,1.19,0.06,-0.22
At5g01210,0.05,-0.78,-1.65,-1.37,-0.38
At5g47950,-0.17,-0.54,-0.15,-0.96,-1.11
At5g07870,0.17,-0.04,0.28,1.20,0.65
At5g04230,-0.05,-0.48,-0.59,-0.88,-0.81
At3g19450,0.03,-0.82,-1.22,-1.74,-1.74
At4g37990,0.07,0.30,0.34,0.00,2.43
At5g48930,-0.20,-1.17,-1.11,-1.50,-1.18
At1g74010,0.46,1.39,1.68,1.32,2.50
At3g16390,0.06,0.20,0.30,-1.03,-1.02
At1g75280,0.15,0.62,0.86,1.56,1.37
At5g52810,0.04,0.00,0.80,0.33,1.00
At4g18480,0.15,-0.16,0.00,-0.73,-0.54
At5g26030,-0.40,0.05,0.26,0.64,0.69
At5g51830,0.03,-0.13,0.42,1.07,1.10
At5g26570,0.17,0.05,-0.06,-0.75,0.34
At3g54420,-0.06,0.24,0.52,0.98,2.05
At4g29670,-0.21,0.17,0.03,0.80,0.30
At5g03630,0.03,-0.05,0.96,0.75,1.80
At4g11600,0.12,0.34,0.69,1.03,1.95
At3g26060,0.16,-0.07,-0.16,-0.79,-0.67
At1g16350,0.07,-0.31,-0.33,-0.74,-0.61
At1g80050,0.03,-0.26,-0.54,-0.58,-0.70
At5g03300,0.16,-0.30,0.03,-0.99,-0.94
At4g12720,-0.10,-0.16,-0.18,0.16,1.07
At5g14780,-0.17,-0.60,-0.79,0.05,1.33
At3g59970,0.02,-0.54,-0.40,-1.30,-1.06
At2g44160,0.20,-0.28,-0.52,-1.28,-0.95
At4g33420,0.14,0.55,-0.20,0.74,0.85
At2g44460,-0.15,-0.03,0.11,0.74,0.70
At1g14540,0.06,0.10,-0.15,0.17,0.75
At1g78680,-0.03,1.24,0.77,1.53,1.00
At5g62670,0.05,-0.07,-0.08,-0.52,-0.77
At5g33320,0.10,-0.15,0.05,-0.87,-0.39
At1g61800,-0.24,0.09,-0.34,0.50,0.83
At3g23940,0.02,0.07,-0.12,-0.87,-0.55
At2g36460,0.12,0.45,0.48,0.72,1.08
At5g54960,0.05,0.19,0.33,0.32,0.90
At5g24420,0.00,0.05,-0.32,-0.02,-1.20
At1g65930,-0.03,-0.29,-1.13,-0.96,-0.56
At3g27380,0.09,0.35,0.33,0.99,0.95
At3g06650,0.26,-0.09,-0.24,-0.73,-0.59
At3g22370,-0.03,0.32,0.59,0.99,1.18
At3g22840,0.89,1.40,2.19,1.70,2.38
At1g51940,-0.32,-0.08,0.11,-0.87,-1.13
At5g61790,0.20,-0.02,0.42,-0.34,0.72
At2g33380,-0.31,-0.01,0.03,0.09,0.77
At2g41100,-0.06,-0.48,-0.93,-0.42,1.10
At5g48540,1.42,2.44,3.27,3.48,3.51
At1g72930,-0.12,-0.33,-0.10,-1.33,-0.57
At5g36910,-0.16,0.04,-0.38,0.21,-1.73
