ATnumber,BacterialPathogen,FungalPathogen,Herbivore,Virus,Cold,Heat,Osmotic,UVB,Wound,Drought,Genotoxic,Unannotated
rps8,1,0,0,0,0,0,0,0,0,0,0,0
At2g40820,1,0,0,0,0,0,0,0,0,0,0,0
At1g67700,1,0,0,0,0,0,0,0,0,0,0,0
At1g24764,1,0,0,0,0,0,0,0,0,0,0,0
At5g08410,1,0,0,0,0,0,0,0,0,0,0,0
At5g35170,1,0,0,0,0,0,0,0,0,0,0,0
At5g27560,1,0,0,0,0,0,0,0,0,0,0,0
At5g66190,1,0,0,0,0,0,0,0,0,0,0,0
At5g62790,1,0,0,0,0,0,0,0,0,0,0,0
At5g58970,1,0,0,0,0,0,0,0,0,0,0,0
At5g58370,1,0,0,0,0,0,0,0,0,0,0,0
At5g50280,1,0,0,0,0,0,0,0,0,0,0,0
At5g42100,1,0,0,0,0,0,0,0,0,0,0,0
At5g40160,1,0,0,0,0,0,0,0,0,0,0,0
At5g23120,1,0,0,0,0,0,0,0,0,0,0,0
At5g12950,1,0,0,0,0,0,0,0,0,0,0,0
At5g04440,1,0,0,0,0,0,0,0,0,0,0,0
At3g62910,1,0,0,0,0,0,0,0,0,0,0,0
At3g61150,1,0,0,0,0,0,0,0,0,0,0,0
At3g55250,1,0,0,0,0,0,0,0,0,0,0,0
At3g54690,1,0,0,0,0,0,0,0,0,0,0,0
At3g50780,1,0,0,0,0,0,0,0,0,0,0,0
At3g44610,1,0,0,0,0,0,0,0,0,0,0,0
At4g35470,1,0,0,0,0,0,0,0,0,0,0,0
At4g30440,1,0,0,0,0,0,0,0,0,0,0,0
At1g51745,1,0,0,0,0,0,0,0,0,0,0,0
At3g32930,1,0,0,0,0,0,0,0,0,0,0,0
At3g15530,1,0,0,0,0,0,0,0,0,0,0,0
At3g08030,1,0,0,0,0,0,0,0,0,0,0,0
At3g09980,1,0,0,0,0,0,0,0,0,0,0,0
At3g09210,1,0,0,0,0,0,0,0,0,0,0,0
At1g01540,1,0,0,0,0,0,0,0,0,0,0,0
At1g15730,1,0,0,0,0,0,0,0,0,0,0,0
At1g60990,1,0,0,0,0,0,0,0,0,0,0,0
At1g68810,1,0,0,0,0,0,0,0,0,0,0,0
At1g68540,1,0,0,0,0,0,0,0,0,0,0,0
At1g06190,1,0,0,0,0,0,0,0,0,0,0,0
At1g02720,1,0,0,0,0,0,0,0,0,0,0,0
At1g07280,1,0,0,0,0,0,0,0,0,0,0,0
At1g75350,1,0,0,0,0,0,0,0,0,0,0,0
At1g19740,1,0,0,0,0,0,0,0,0,0,0,0
At1g20020,1,0,0,0,0,0,0,0,0,0,0,0
At1g44920,1,0,0,0,0,0,0,0,0,0,0,0
At2g01110,1,0,0,0,0,0,0,0,0,0,0,0
At1g48310,1,0,0,0,0,0,0,0,0,0,0,0
At1g73070,1,0,0,0,0,0,0,0,0,0,0,0
At1g03160,1,0,0,0,0,0,0,0,0,0,0,0
At1g30570,1,0,0,0,0,0,0,0,0,0,0,0
At1g22700,1,0,0,0,0,0,0,0,0,0,0,0
At1g60160,1,0,0,0,0,0,0,0,0,0,0,0
At1g09795,1,0,0,0,0,0,0,0,0,0,0,0
At2g27680,1,0,0,0,0,0,0,0,0,0,0,0
At2g27050,1,0,0,0,0,0,0,0,0,0,0,0
At2g01570,1,0,0,0,0,0,0,0,0,0,0,0
At2g32390,1,0,0,0,0,0,0,0,0,0,0,0
At2g35440,1,0,0,0,0,0,0,0,0,0,0,0
At2g34860,1,0,0,0,0,0,0,0,0,0,0,0
At2g30570,1,0,0,0,0,0,0,0,0,0,0,0
At2g30695,1,0,0,0,0,0,0,0,0,0,0,0
At1g30250,1,1,0,0,0,0,0,0,0,0,0,0
At1g01860,1,0,1,0,0,0,0,0,0,0,0,0
At5g64460,1,0,1,0,0,0,0,0,0,0,0,0
At5g50250,1,0,1,0,0,0,0,0,0,0,0,0
At5g06440,1,0,1,0,0,0,0,0,0,0,0,0
At3g53700,1,0,1,0,0,0,0,0,0,0,0,0
At4g21760,1,0,1,0,0,0,0,0,0,0,0,0
At1g31420,1,0,1,0,0,0,0,0,0,0,0,0
At1g20650,1,0,1,0,0,0,0,0,0,0,0,0
At1g01970,1,0,1,0,0,0,0,0,0,0,0,0
At1g17220,1,0,1,0,0,0,0,0,0,0,0,0
At1g64860,1,0,1,0,0,0,0,0,0,0,0,0
At2g32480,1,0,1,0,0,0,0,0,0,0,0,0
At5g03650,1,0,1,1,0,0,0,0,0,0,0,0
At2g21370,1,0,1,1,0,0,0,0,0,0,0,0
At2g35800,1,0,1,1,0,0,0,0,0,0,0,0
At5g41920,1,0,1,0,0,0,0,0,0,0,0,0
At5g05960,1,0,0,1,0,0,0,0,0,0,0,0
At3g15480,1,0,0,1,0,0,0,0,0,0,0,0
At1g75090,1,0,0,1,0,0,0,0,0,0,0,0
At1g70895,1,0,0,1,0,0,0,0,0,0,0,0
At5g16730,1,0,0,1,0,0,0,0,0,0,0,0
At5g49660,1,0,0,1,0,0,0,0,0,0,0,0
At5g24300,1,0,0,1,0,0,0,0,0,0,0,0
At4g01800,1,0,0,1,0,0,0,0,0,0,0,0
At3g18035,1,0,0,1,0,0,0,0,0,0,0,0
At3g03710,1,0,0,1,0,0,0,0,0,0,0,0
At1g01610,1,0,0,1,0,0,0,0,0,0,0,0
At1g64680,1,0,0,1,0,0,0,0,0,0,0,0
At5g24010,0,0,0,0,1,0,0,0,0,0,0,0
At5g22890,0,0,0,0,1,0,0,0,0,0,0,0
At5g18390,0,0,0,0,1,0,0,0,0,0,0,0
At3g45410,0,0,0,0,1,0,0,0,0,0,0,0
At2g34140,0,0,0,0,1,0,0,0,0,0,0,0
At1g51430,0,0,0,0,1,0,0,0,0,0,0,0
At1g68430,0,0,0,0,1,0,0,0,0,0,0,0
At1g64590,0,0,0,0,1,0,0,0,0,0,0,0
At1g76060,0,0,0,0,1,0,0,0,0,0,0,0
At2g01660,0,0,0,0,1,0,0,0,0,0,0,0
At2g42290,0,0,0,0,1,0,0,0,0,0,0,0
At3g22680,0,0,0,0,1,0,0,0,0,0,0,0
At1g69850,0,0,0,0,1,0,0,0,0,0,0,0
At1g72510,0,0,0,0,1,0,0,0,0,0,0,0
At2g37490,0,0,0,0,1,0,0,0,0,0,0,0
At1g28570,0,0,0,0,1,0,0,0,0,0,0,0
At1g30530,0,0,1,0,1,1,1,1,0,0,0,0
At4g33660,0,0,0,0,1,1,1,0,0,0,0,0
At2g19310,0,0,1,0,1,1,1,0,0,0,0,0
At5g40150,1,0,0,0,1,0,1,1,0,0,0,0
At1g56210,0,0,0,0,1,0,1,0,0,0,0,0
At5g46790,0,0,0,0,1,0,1,0,0,0,0,0
At3g52360,0,0,1,0,1,0,1,0,0,0,0,0
At1g27210,0,0,0,0,1,0,1,1,0,0,0,0
At1g31350,0,0,0,0,1,1,0,0,0,0,0,0
At3g56980,0,0,0,0,1,1,1,1,1,0,0,0
At4g16370,0,0,0,1,1,1,1,0,0,0,0,0
At4g02210,0,0,0,0,1,1,0,0,0,0,0,0
At2g37380,0,0,0,1,1,0,1,1,0,0,0,0
At5g25220,0,0,0,0,1,0,1,0,0,0,0,0
At3g50700,0,0,0,0,1,1,1,1,0,0,0,0
At5g62280,0,0,1,0,1,1,1,1,1,0,1,0
At5g62920,0,0,1,0,1,1,1,0,1,1,1,0
At3g62930,0,0,0,0,1,1,1,0,0,1,0,0
At5g65685,0,0,0,0,1,0,0,0,0,0,0,0
At5g62180,0,0,0,0,1,0,0,0,0,0,0,0
At5g48800,0,0,0,0,1,0,0,0,0,0,0,0
At5g14690,0,0,0,0,1,0,0,0,0,0,0,0
At5g11840,0,0,0,0,1,0,0,0,0,0,0,0
At3g44540,0,0,0,0,1,0,0,0,0,0,0,0
At4g37890,0,0,0,0,1,0,0,0,0,0,0,0
At4g27050,0,0,0,0,1,0,0,0,0,0,0,0
At4g18975,0,0,0,0,1,0,0,0,0,0,0,0
At4g12300,0,0,0,0,1,0,0,0,0,0,0,0
At5g34930,0,0,0,0,1,0,0,0,0,0,0,0
At1g79180,0,0,0,0,1,0,0,0,0,0,0,0
At1g03675,0,0,0,0,1,0,0,0,0,0,0,0
At2g44760,0,0,0,0,1,0,0,0,0,0,0,0
At4g02530,1,0,0,0,1,0,0,0,0,0,0,0
At5g40250,0,0,0,0,1,0,0,0,0,0,0,0
At5g27710,0,0,0,0,1,0,0,0,0,0,0,0
At5g61340,0,0,0,0,1,0,0,0,0,0,0,0
At3g57790,0,0,0,0,1,0,0,0,0,0,0,0
At3g20120,0,0,0,0,1,0,0,0,0,0,0,0
At1g48430,0,0,0,0,1,0,0,0,0,0,0,0
At4g30520,1,0,0,0,1,0,0,0,0,0,0,0
At3g19000,1,0,1,1,1,0,0,0,0,0,0,0
At5g60890,0,0,1,1,1,1,1,1,1,1,0,0
At5g57785,0,0,0,0,1,1,1,1,1,1,1,0
At2g24762,1,0,0,0,1,1,1,1,1,1,0,0
At2g18570,1,0,0,0,1,0,1,0,0,1,0,0
At1g72430,1,0,0,1,1,1,1,0,0,1,0,0
At2g47440,1,0,0,0,1,1,1,0,0,1,0,0
