"probe","AGI","symbol","log2ratio","eBayes.p.value","annot"
"244937_at","ATCG01110","NDHH",-1.47676098826574,0.0206473454174866,"Encodes the 49KDa plastid NAD(P)H dehydrogenase subunit H protein.  Its transcription is regulated by an ndhF-specific plastid sigma factor, SIG4."
"244962_at","ATCG01050","NDHD",-1.52845931765479,0.0111188432114816,"Represents a plastid-encoded subunit of a NAD(P)H dehydrogenase complex.  Its mRNA is edited at four positions.  Translation data is not available for this gene."
"244963_at","ATCG00570","PSBF",-1.03814366134002,0.000466550000060828,"PSII cytochrome b559"
"244964_at","ATCG00580","PSBE",-1.36571447292558,0.000190321176034448,"PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized."
"244975_at","ATCG00710","PSBH",-1.42418992981598,0.00248303508749665,"Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII."
"244988_s_at","ATCG00840, ATCG01300","RPL23, RPL23.1, RPL23.2",-1.11260069154256,0.0101356362770641,"One of two chloroplast genes that encode chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex, One of two chloroplast genes that encode chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex, One of two chloroplast genes that encode  chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex"
"244995_at","ATCG00150","ATPI",-1.84060852248119,0.00341739321402055,"Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex."
"244998_at","ATCG00180","RPOC1",-1.54036441848197,0.000274237911776299,"RNA polymerase beta' subunit-1"
"245002_at","ATCG00270","PSBD",-1.91466915362352,2.99358870806704e-05,"PSII D2 protein"
"245003_at","ATCG00280","PSBC",-1.76763830865278,8.9964115163553e-05,"chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element."
"245007_at","ATCG00350","PSAA",-1.96070930669551,0.00580128985196092,"Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome."
"245010_at","ATCG00420","NDHJ",-2.07843715158538,0.000886744235564396,"Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion."
"245011_at","ATCG00430","PSBG",-1.89734466057287,0.00620657118538062,"Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase."
"245026_at","ATCG00140","ATPH",-1.15852407951506,0.00302189326419792,"ATPase III subunit"
"245038_at","AT2G26560","PLA, PLA2A, PLP2",2.18062589065769,1.00513380260229e-05,"encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells., encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells., encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells."
"245041_at","AT2G26530","AR781",-1.60278116013670,2.88019136866807e-05,"unknown function"
"245044_at","AT2G26500","",-1.38835176545447,7.7457117822706e-05,"cytochrome b6f complex subunit (petM), putative; similar to unknown [Euphorbia esula] (GB:AAF34768.1), cytochrome b6f complex subunit (petM), putative; similar to unknown [Euphorbia esula] (GB:AAF34768.1); contains InterPro domain PetM of cytochrome b6f complex subunit 7; (InterPro:IPR012595)"
"245047_at","ATCG00020","PSBA",-2.06614636869632,0.00101076334381666,"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core"
"245061_at","AT2G39730","RCA",-1.66699827712162,4.29466981242921e-05,"Rubisco activase, a nuclear-encoded chloroplast protein that consists of two isoforms arising from alternative splicing in most plants. Required for the light activation of rubisco."
"245106_at","AT2G41650","",1.21361190013399,0.000426081451466232,"unknown protein"
"245117_at","AT2G41560","ACA4",-1.25536351682631,0.0013727825799882,"encodes a calmodulin-regulated Ca(2+)-ATPase that improves salt tolerance in yeast. localized to the vacuole."
"245118_at","AT2G41680","NTRC",-1.00385625427015,0.00045175440382882,"thioredoxin reductase, putative / NADPH-dependent thioredoxin reductase, putative; similar to NTRA (NADPH-dependent thioredoxin reductase 2) [Arabidopsis thaliana] (TAIR:AT2G17420.1); similar to Os07g0657900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060515.1); similar to thioredoxin reductase [Nostoc sp. PCC 7120] (GB:NP_484780.1); contains InterPro domain Thioredoxin-like fold; (InterPro:IPR012336); contains InterPro domain Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region; (InterPro:IPR001327); contains InterPro domain Adrenodoxin reductase; (InterPro:IPR000759); contains InterPro domain Thioredoxin-related; (InterPro:IPR006662); contains InterPro domain Thioredoxin domain 2; (InterPro:IPR006663); contains InterPro domain Glutaredoxin; (InterPro:IPR002109); contains InterPro domain Thioredoxin reductase; (InterPro:IPR005982); contains InterPro domain Thioredoxin fold; (InterPro:IPR012335); contains InterPro domain Pyridine nucleotide-disulphide oxidoreductase, class-II; (InterPro:IPR000103); contains InterPro domain FAD-dependent pyridine nucleotide-disulphide oxidoreductase; (InterPro:IPR013027)"
"245123_at","AT2G47450","CAO, CPSRP43",-1.04647271807588,0.000344314021062288,"A component of the chloroplast signal recognition particle pathway that is involved in LHCP targeting.  Downregulated in response to high light., A component of the chloroplast signal recognition particle pathway that is involved in LHCP targeting.  Downregulated in response to high light."
"245168_at","AT2G33150","KAT2, PED1",1.03138846729226,0.00124533596787972,"Encodes an organellar (peroxisome, glyoxysome) 3-ketoacyl-CoA thiolase, involved in fatty acid b-oxidation during germination and subsequent seedling growth. Mutants have defects in glyoxysomal fatty acid beta-oxidation., Encodes an organellar (peroxisome, glyoxysome) 3-ketoacyl-CoA thiolase, involved in fatty acid b-oxidation during germination and subsequent seedling growth. Mutants have defects in glyoxysomal fatty acid beta-oxidation."
