locus	WeisLog2ratio
ATCG01110	Downregulated
ATCG01050	Downregulated
ATCG00570	Downregulated
ATCG00580	Downregulated
ATCG00710	Downregulated
ATCG00840	Downregulated
 ATCG01300	Downregulated
ATCG00150	Downregulated
ATCG00180	Downregulated
ATCG00270	Downregulated
ATCG00280	Downregulated
ATCG00350	Downregulated
ATCG00420	Downregulated
ATCG00430	Downregulated
ATCG00140	Downregulated
AT2G26560	Upregulated
AT2G26530	Downregulated
AT2G26500	Downregulated
ATCG00020	Downregulated
AT2G39730	Downregulated
AT2G41650	Upregulated
AT2G41560	Downregulated
AT2G41680	Downregulated
AT2G47450	Downregulated
AT2G33150	Upregulated
AT2G47470	Upregulated
AT1G67810	Upregulated
AT1G67740	Downregulated
AT1G67700	Downregulated
AT1G44446	Downregulated
AT4G16155	Downregulated
AT4G16660	Upregulated
AT4G16370	Upregulated
AT4G17215	Upregulated
AT4G15610	Upregulated
AT4G16980	Downregulated
AT4G15545	Downregulated
AT4G14365	Upregulated
AT4G14890	Downregulated
AT4G17600	Downregulated
AT4G17560	Downregulated
AT4G17460	Downregulated
AT4G16410	Downregulated
AT4G16260	Upregulated
AT4G14560	Downregulated
AT4G15910	Upregulated
AT1G28330	Downregulated
AT5G04150	Upregulated
AT5G04140	Downregulated
AT1G73470	Downregulated
AT1G51110	Downregulated
AT1G51110	Downregulated
AT1G35140	Downregulated
AT1G33600	Downregulated
AT1G32220	Downregulated
AT1G32160	Downregulated
AT1G45474	Downregulated
AT1G26150	Downregulated
AT5G13510	Downregulated
AT1G57980	Downregulated
 AT1G57990	Downregulated
AT5G19550	Upregulated
AT5G28500	Downregulated
AT5G28540	Upregulated
 AT5G42020	Upregulated
AT5G13080	Upregulated
AT5G13180	Upregulated
AT5G20630	Downregulated
AT5G08410	Downregulated
AT5G08330	Downregulated
AT5G10695	Upregulated
AT5G21170	Downregulated
AT5G08280	Downregulated
AT5G19440	Upregulated
AT5G08380	Upregulated
AT5G20230	Upregulated
AT5G20250	Downregulated
AT5G19940	Downregulated
AT4G36530	Downregulated
AT4G37040	Downregulated
AT4G36990	Upregulated
AT4G37200	Downregulated
AT4G36430	Upregulated
AT4G36390	Downregulated
AT4G37260	Downregulated
AT4G36500	Downregulated
AT4G36540	Downregulated
AT3G56880	Downregulated
AT3G56710	Upregulated
AT3G56910	Downregulated
AT1G51940	Downregulated
AT1G77330	Upregulated
AT5G16710	Downregulated
AT5G16970	Upregulated
AT5G16030	Downregulated
AT5G14970	Downregulated
AT5G14910	Downregulated
AT5G14920	Downregulated
AT5G14740	Downregulated
AT1G50740	Upregulated
AT5G35170	Downregulated
AT5G27560	Downregulated
AT5G27760	Upregulated
AT5G27420	Upregulated
AT5G27290	Downregulated
AT5G26340	Upregulated
AT5G25930	Upregulated
AT5G25770	Upregulated
AT5G24800	Downregulated
AT5G24930	Downregulated
AT5G67030	Downregulated
AT5G66690	Upregulated
AT5G66760	Upregulated
AT5G66570	Downregulated
AT5G66400	Upregulated
AT5G66530	Downregulated
AT5G66190	Downregulated
AT5G65730	Downregulated
AT5G65840	Downregulated
AT5G65220	Downregulated
AT5G65010	Downregulated
AT5G64840	Downregulated
AT5G64770	Downregulated
AT5G64250	Upregulated
AT5G64100	Upregulated
AT5G64040	Downregulated
AT5G64120	Upregulated
AT5G63600	Upregulated
AT5G63680	Upregulated
AT5G63780	Downregulated
AT5G63180	Downregulated
AT5G62680	Upregulated
AT5G62630	Upregulated
AT5G62350	Downregulated
AT5G62360	Downregulated
AT5G62150	Upregulated
AT5G61820	Upregulated
AT5G61790	Upregulated
AT5G61410	Downregulated
AT5G61600	Downregulated
AT5G60680	Downregulated
AT5G60600	Downregulated
AT5G59820	Upregulated
AT5G59730	Downregulated
AT5G59250	Downregulated
AT5G59320	Upregulated
AT5G59310	Upregulated
AT5G59030	Downregulated
AT5G59090	Upregulated
AT5G58860	Upregulated
AT5G58260	Downregulated
AT5G58350	Upregulated
AT5G58140	Downregulated
AT1G24807	Upregulated
 AT1G24909	Upregulated
 AT1G25083	Upregulated
 AT1G25155	Upregulated
 AT1G25220	Upregulated
 AT5G57890	Upregulated
AT5G57630	Downregulated
AT5G57930	Downregulated
AT5G57345	Downregulated
AT5G57340	Downregulated
AT5G57660	Downregulated
AT5G57560	Downregulated
AT5G57040	Downregulated
AT5G57030	Downregulated
AT5G56630	Upregulated
AT5G56350	Upregulated
AT5G55450	Upregulated
AT5G55220	Downregulated
AT5G54840	Upregulated
AT5G54800	Upregulated
AT5G54270	Downregulated
AT5G54500	Upregulated
AT5G53490	Downregulated
AT5G53590	Upregulated
AT5G53250	Upregulated
AT5G53400	Upregulated
AT5G53450	Upregulated
AT5G52920	Downregulated
AT5G52960	Downregulated
AT5G52970	Downregulated
AT5G52760	Upregulated
AT5G52440	Downregulated
AT5G51720	Downregulated
AT5G51820	Downregulated
AT5G51545	Downregulated
AT5G51110	Downregulated
AT5G51010	Downregulated
AT5G51040	Upregulated
AT5G50450	Downregulated
AT5G50200	Upregulated
AT5G49730	Downregulated
 AT5G49740	Downregulated
AT5G49480	Upregulated
AT5G49360	Downregulated
AT5G48790	Downregulated
AT5G48900	Downregulated
AT5G48490	Downregulated
AT5G48540	Upregulated
AT5G48180	Upregulated
AT5G47910	Upregulated
AT5G47990	Downregulated
AT5G47840	Downregulated
AT5G47640	Downregulated
AT5G47240	Downregulated
AT5G47190	Downregulated
AT5G47110	Downregulated
AT5G46710	Downregulated
AT5G46180	Upregulated
AT5G46110	Downregulated
AT5G45930	Downregulated
AT5G45680	Downregulated
AT5G45070	Upregulated
AT5G44680	Downregulated
AT5G44130	Downregulated
AT5G44420	Upregulated
AT5G44110	Upregulated
AT5G43580	Upregulated
AT5G43750	Downregulated
AT5G43440	Downregulated
AT5G42800	Upregulated
AT5G42300	Upregulated
AT5G42050	Upregulated
AT5G42310	Downregulated
AT5G40780	Upregulated
AT5G40500	Downregulated
AT5G40690	Upregulated
AT5G39520	Upregulated
AT5G39610	Upregulated
AT5G39210	Downregulated
AT5G39110	Upregulated
 AT5G39120	Upregulated
 AT5G39150	Upregulated
 AT5G39180	Upregulated
AT5G39050	Upregulated
AT5G38510	Downregulated
