ID	Species	Log2ratio
AT1G04420	Spartina	Upregulated
AT1G04420	Weisman	Downregulated
AT1G04420	Dumas	NA
AT1G05190	Spartina	Upregulated
AT1G05190	Weisman	Downregulated
AT1G05190	Dumas	NA
AT1G06550	Spartina	Upregulated
AT1G06550	Weisman	NA
AT1G06550	Dumas	Downregulated
AT1G06680	Spartina	Upregulated
AT1G06680	Weisman	Downregulated
AT1G06680	Dumas	NA
AT1G08520	Spartina	Upregulated
AT1G08520	Weisman	Downregulated
AT1G08520	Dumas	NA
AT1G09340	Spartina	Upregulated
AT1G09340	Weisman	Downregulated
AT1G09340	Dumas	NA
AT1G11860	Spartina	Upregulated
AT1G11860	Weisman	Downregulated
AT1G11860	Dumas	Downregulated
AT1G11910	Spartina	Downregulated
AT1G11910	Weisman	NA
AT1G11910	Dumas	Upregulated
AT1G12900	Spartina	Upregulated
AT1G12900	Weisman	Downregulated
AT1G12900	Dumas	NA
AT1G16300	Spartina	Upregulated
AT1G16300	Weisman	Upregulated
AT1G16300	Dumas	NA
AT1G17220	Spartina	Upregulated
AT1G17220	Weisman	Downregulated
AT1G17220	Dumas	NA
AT1G18730	Spartina	Upregulated
AT1G18730	Weisman	Downregulated
AT1G18730	Dumas	NA
AT1G20020	Spartina	Downregulated
AT1G20020	Weisman	Downregulated
AT1G20020	Dumas	NA
AT1G30380	Spartina	Upregulated
AT1G30380	Weisman	Downregulated
AT1G30380	Dumas	NA
AT1G31330	Spartina	Upregulated
AT1G31330	Weisman	Downregulated
AT1G31330	Dumas	NA
AT1G32060	Spartina	Upregulated
AT1G32060	Weisman	Downregulated
AT1G32060	Dumas	NA
AT1G42970	Spartina	Upregulated
AT1G42970	Weisman	Downregulated
AT1G42970	Dumas	NA
AT1G43670	Spartina	Upregulated
AT1G43670	Weisman	Downregulated
AT1G43670	Dumas	NA
AT1G44000	Spartina	Upregulated
AT1G44000	Weisman	Downregulated
AT1G44000	Dumas	NA
AT1G44446	Spartina	Upregulated
AT1G44446	Weisman	Downregulated
AT1G44446	Dumas	NA
AT1G50250	Spartina	Upregulated
