"","locus","SAlog2ratio","WeisLog2ratio"
"1","AT1G04420",0.345455311955315,-1.22220784464626
"2","AT1G05190",0.192549550308139,-1.36188712360246
"3","AT1G06680",0.403790150001131,-1.31247533088592
"4","AT1G08520",0.585044578586736,-1.23020584248404
"5","AT1G09340",1.25962254663928,-1.59827649812543
"6","AT1G11860",-0.589075341517697,-1.82523750029668
"7","AT1G12900",-0.393651187946072,-1.70711606687532
"8","AT1G17220",0.312203654857093,-1.39855070661467
"9","AT1G18730",0.360242405785339,-1.51759940419208
"10","AT1G20020",-0.761118958989303,-1.66115105128498
"11","AT1G30380",0.28842117772875,-1.0656155090252
"12","AT1G31330",0.146298348281845,-1.88499511606136
"13","AT1G32060",0.396182292928724,-1.98701534564778
"14","AT1G42970",0.192377078409209,-1.25152636313241
"15","AT1G43670",-1.49648220347676,-1.90459232045334
"16","AT1G44000",NA,-1.41153003627708
"17","AT1G44446",0.511297694792247,-1.25244506908138
"18","AT1G50250",0.189424503692066,-1.24365245135365
"19","AT1G52220",-0.46874346731584,-1.60309034394926
"20","AT1G52510",-0.305170413530548,-1.83908049329165
"21","AT1G53310",0.215954211514246,1.13361676431988
"22","AT1G55480",0.287653367435386,-1.13419782740475
"23","AT1G56110",0.409284691237987,1.02042445664898
"24","AT1G56500",-1.35153117337036,-1.56259753630785
"25","AT1G56500",-1.35153117337036,-1.6784042994559
"26","AT1G58290",0.700619544126887,-2.50186285711154
"27","AT1G59960",-0.281521205185318,1.21678541372358
"28","AT1G60950",0.354042645102747,-1.88582253743201
"29","AT1G62750",-0.740121608284478,-1.30679678723504
"30","AT1G64720",NA,-2.49540403525759
"31","AT1G64860",0.728085850429889,-1.26998321652387
"32","AT1G66580",0.145192249802018,1.08109672355973
"33","AT1G67740",0.256257235510221,-2.03163603570865
"34","AT1G68010",0.291418879890545,-1.89996131911323
"35","AT1G69830",0.414828203853231,-1.0185682646215
"36","AT1G74970",NA,-1.35969738376913
"37","AT1G76490",-0.598592665063945,-1.07999444658029
"38","AT1G76730",2.32306398904098,-1.07028005777446
"39","AT1G77120",1.85048492456259,2.94578872491594
"40","AT1G80380",0.0951084336658794,-1.00633260407849
"41","AT2G01110",0.157737272078239,-1.31510110939515
"42","AT2G02500",NA,-1.14914653678256
"43","AT2G03200",-0.17443523445841,1.11893146669141
"44","AT2G04400",0.930464293406041,1.07776381662825
"45","AT2G10940",-0.305743104014459,-3.09833227525768
"46","AT2G14910",-3.596214962634,-1.34889631553041
"47","AT2G21385",0.253036852600683,-1.23363969215778
"48","AT2G21620",0.24719229818629,1.03287045792638
"49","AT2G21960",-0.414435505209601,-1.23402873314944
"50","AT2G22540",0.0217376249180038,-1.03441602358531
"51","AT2G23390",0.379857258943551,-1.02741054583627
"52","AT2G26500",0.499918244888283,-1.38835176545447
"53","AT2G28190",NA,1.61206678945692
"54","AT2G30170",3.47814369268877,-1.87210186368444
"55","AT2G30570",0.130238242242512,-1.01189630424693
"56","AT2G31040",-0.160969148658239,-1.47868269126811
"57","AT2G32480",NA,-1.43991987593097
"58","AT2G33150",1.28386786264492,1.03138846729226
"59","AT2G34860",NA,-1.24009051265001
"60","AT2G37220",-1.90519399320308,-1.00147718535204
"61","AT2G41560",-0.586106312808472,-1.25536351682631
"62","AT2G41680",-0.0624948516900062,-1.00385625427015
"63","AT2G42790",-0.203389312103551,1.02151671341982
"64","AT2G43560",1.37939814781593,-1.6545515893593
"65","AT2G44350",4.12578031043383,1.07105960097704
"66","AT2G46820",8.69643974523336,-1.57763069758126
"67","AT3G01480",-0.300041000150619,-1.73843089863823
"68","AT3G03150",0.188769626928477,-1.64305104623399
"69","AT3G12740",0.345627052191218,1.03504492497821
