"","locus","SAlog2ratio","WeisLog2ratio","DumasLog2ratio"
"1","AT1G11860",-0.589075341517697,-1.82523750029668,-0.558
"2","AT1G60950",0.354042645102747,-1.88582253743201,-0.36
"3","AT1G66580",1.59206093771176,1.08109672355973,0.82
"4","AT1G77120",-1.83242521073896,2.94578872491594,0.586
"5","AT2G21620",0.24719229818629,1.03287045792638,0.956
"6","AT2G33150",1.28386786264492,1.03138846729226,0.304
"7","AT2G44350",4.12578031043383,1.07105960097704,0.254
"8","AT3G01480",1.331369446611,-1.73843089863823,-0.42
"9","AT3G45140",-0.185987856154522,1.67028089797982,-0.09
"10","AT3G47070",1.08676026963385,-2.79116410644654,-0.36
"11","AT5G17380",0.265698113888792,1.23573359263347,0.51
"12","AT5G19440",2.10551950389094,1.28764321919202,0.418
"13","AT5G54500",-0.310259270509395,1.68094812760396,1.204
"14","AT5G61820",0.136410481241144,1.51963511202625,0.618
