ProbeName,oil_1_1_Median,oil_1_3_Median,oil_2_4_Median,oil_2_5_Median,oil_2_6_Median,oil_3_7_Median,oil_3_8_Median,oil_3_9_Median,no_4_10_Median,no_4_11_Median,no_5_13_Median,no_5_14_Median,no_5_15_Median,no_6_16_Median,no_6_17_Median,no_6_18_Median,oil_1_19_Median,no_4_20_Median
CUST_10000_PI428634872,0.741710006,0.720085094,0.923426156,0.648974248,0.936550077,0.515261992,0.420189829,0.311162616,0.309445566,0.661466357,0.876008194,0.935331793,1.038111962,0.136778273,0.27889308,0.206546736,0.73448434,0.808356351
CUST_10001_PI428634872,-3.770416916,-3.01342213,-3.632166144,-3.451803144,-4.043477232,-3.984383062,-4.017694228,-3.835973514,-3.769588456,-3.7147388,-3.766912186,-3.769883382,-3.559754521,-3.54711531,-3.603979195,-3.504267149,-3.496628903,-3.657977617
CUST_10002_PI428634872,-0.555736973,-0.397504463,-0.486621683,-0.434700161,-0.433786766,-0.449438,-0.988399715,-0.864451695,-1.56225115,-1.353009515,-1.296130521,-1.320557696,-1.329210703,-1.389523704,-1.532886439,-1.453139195,-0.372482518,-1.597083163
CUST_10003_PI428634872,-1.702457714,-2.264853226,-1.639079722,-1.421010467,-1.791042392,-1.704938254,-1.907339148,-1.847774032,-1.530250483,-1.983800047,-1.697584893,-1.803862649,-1.826877116,-1.716046021,-1.554981625,-1.591016988,-1.540545693,-1.993035597
CUST_10004_PI428634872,-0.695918481,-2.441857966,-1.148090273,-1.081381372,-1.124658956,-1.109811123,-0.488456291,-1.219041449,-0.597221307,-0.923471099,-1.203912502,-1.206910965,-1.240745342,-1.290354934,-1.228275538,-1.257706702,-1.27700529,-0.588960492
CUST_10005_PI428634872,-3.053625404,-2.820900152,-3.116911582,-2.067099704,-3.080750314,-2.832402602,-2.537650607,-1.998760172,-3.643712831,-2.12332283,-3.241866309,-2.602073605,-2.567910349,-2.037637252,-2.631940526,-1.725977699,-2.641916867,-2.681421362
CUST_10006_PI428634872,-4.536577361,-5.386992205,-4.571622645,-4.118389049,-4.612534896,-4.623024234,-3.873992798,-3.550476367,-3.974239958,-3.077008505,-5.430819453,-5.136983351,-4.850131556,-4.197484599,-4.087764507,-3.826392377,-2.969414233,-3.632174858
CUST_10007_PI428634872,0.185334909,-0.045372182,0.568552831,0.71827898,0.625609187,0.729860959,0.588133008,0.506482608,1.851635704,1.914113044,1.814156049,1.945614181,1.884961655,0.217540274,0.274715914,0.233006817,0.419036775,1.770995641
CUST_10008_PI428634872,-2.337815832,-2.453491272,-2.796487133,-2.611919541,-2.264593355,-2.338238958,-2.102361368,-1.700462381,-2.001327373,-2.349985342,-1.803307104,-2.267840066,-2.20801741,-2.502223325,-2.372768059,-2.9481012,-2.224265023,-2.288990791
CUST_10009_PI428634872,-0.36111683,-0.106081267,-0.103996893,-0.064572353,-0.084808095,-0.175367708,-0.421379204,-0.110407388,0.119300491,0.102932429,-0.249958867,-0.155246043,-0.121163955,0.003625012,-0.046967537,-0.059427604,-0.157009635,0.056949166
CUST_1000_PI428634872,-4.664337618,-3.41991171,-4.534885001,-4.903934772,-5.100065157,-4.679142678,-4.634372312,-4.717934465,-4.565336887,-4.740710001,-4.712908475,-5.020142658,-4.857494252,-4.751028236,-4.363872623,-4.595908361,-4.815823577,-4.930121306
CUST_10010_PI428634872,-6.779736113,-7.42853122,-7.829332398,-6.757614533,-7.102258238,-7.364886912,-7.755894474,-6.841096059,-6.791461792,-7.749561583,-7.197523146,-7.459877426,-7.057081143,-8.007511076,-6.41736985,-6.882777064,,-7.60315627
CUST_10011_PI428634872,-2.686545103,-2.294707393,-2.512331825,-1.345042864,-2.110520605,-1.043233688,-0.710167631,-1.856357325,-2.320037989,-2.067175138,-2.364466347,-2.573187533,-2.76610905,-2.76406106,-2.720212898,-2.788247308,-1.415866694,-2.08137517
CUST_10012_PI428634872,1.127275283,0.681276806,1.739196271,1.713894298,1.292620889,1.844759302,1.738013459,2.076392129,0.685222457,1.014656627,0.247653222,0.301550175,0.366491742,2.076771956,1.673013206,2.022281598,1.293760052,0.47386279
CUST_10013_PI428634872,2.763261588,2.898099191,3.29624618,2.977149678,3.183715794,2.856667374,3.148393229,2.994278725,3.085106117,3.411948211,3.258429522,3.28853474,3.314202112,3.318866047,3.397246516,3.270642145,3.472941505,3.118659324
CUST_10014_PI428634872,-6.70502547,-6.414622186,-6.044643911,-6.160382509,-5.98788074,-6.859237697,-5.785077451,-6.367862221,-6.511591038,-7.238149694,-7.528627755,-7.895694375,-7.760864139,-5.931486512,-5.200484358,-6.26582224,-6.709670203,-6.992025364
CUST_10016_PI428634872,-3.763589188,-2.227558552,-3.430136561,-3.344578447,-3.65691314,-3.400919448,-3.013055935,-3.30316197,-2.746290012,-2.71314634,-2.543492811,-2.376982517,-2.523922607,-3.134032649,-3.411136639,-3.220221936,-3.405446343,-3.056911111
CUST_10018_PI428634872,1.844870605,1.69539227,1.890802357,1.503944355,1.82597503,1.002029271,0.908711081,0.700245781,1.283719811,1.191184594,1.66874299,1.826667925,1.871026896,1.344099598,1.549171792,1.398225745,1.304964761,1.425259114
CUST_10019_PI428634872,0.929581687,0.375328926,0.648883552,0.690344788,0.790611095,1.073165048,1.059201005,1.154060308,1.147640939,0.893129456,1.324359847,1.19757549,1.041943907,1.143969761,1.213178071,1.188045389,0.710976171,0.805974583
CUST_1001_PI428634872,0.870316293,0.732376857,1.337776799,1.226037613,1.392922395,1.122285682,1.20498759,1.355281487,1.439351715,1.100743268,1.064734468,0.959632074,0.925599174,1.543054243,1.518952448,1.451737559,0.772826126,0.690379097
CUST_10020_PI428634872,-0.253515847,-0.237895921,-0.36434191,-0.346148886,-0.473069944,-0.480787736,-0.356295641,-0.514769975,-0.331737116,-0.484011233,-0.171352763,-0.171611187,-0.145177292,-0.61010221,-0.635823561,-0.551711532,-0.281446275,-0.48715889
CUST_10022_PI428634872,-0.088171174,0.342123446,0.062757856,-0.001413563,-0.179784803,-0.037104473,-0.180904026,-0.321137966,0.352513802,0.496766365,0.498902988,0.464876549,0.471727433,-0.166369912,-0.038970377,-0.1698458,0.355189031,0.828495827
CUST_10023_PI428634872,-3.271652227,-2.688564826,-2.852703182,-3.1290552,-3.015349968,-3.1779346,-3.170030306,-3.526906085,-3.083305989,-3.067240311,-2.835883002,-2.771899851,-2.778101965,-3.719967522,-3.338747536,-3.326083916,-3.582099586,-2.912726991
CUST_10024_PI428634872,2.408944226,1.721108913,2.289834274,2.310357101,2.11065224,2.338203649,2.524552734,2.458673122,2.192298184,2.102056313,2.202724689,2.095705386,2.226548407,2.721570461,2.617012002,2.662577231,2.082912967,1.962070037
CUST_10025_PI428634872,-1.063371488,-0.571464382,-0.831915816,-0.832854601,-1.034110074,-0.622905829,-0.664785407,-0.829609065,-0.940686487,-1.051968107,-0.996801922,-1.045061661,-1.020295645,-1.091823267,-1.101539158,-1.249227047,-0.869007164,-0.740313818
CUST_10026_PI428634872,0.83381974,0.734790947,0.815875428,0.885612169,0.65310452,0.595596853,0.728876583,0.612416884,0.606172525,0.667526731,0.391226896,0.774393761,0.753482833,0.819557503,0.814118791,0.787457355,0.638143874,0.799773878
CUST_10027_PI428634872,-5.212155474,-5.824059916,-4.549720786,-4.848758815,-4.662721704,-4.307590338,-4.626282871,-4.684742718,-5.202209376,-4.6689585,-4.19508816,-4.358336545,-4.534437547,-4.530411488,-4.109379678,-4.243674171,-4.622044376,-4.865438032
CUST_10028_PI428634872,-5.150131796,-5.065680356,-6.646525294,-5.139250096,-5.992555311,-6.020268696,-5.776186361,-4.95084516,-5.462153577,-4.592890838,-5.272897205,-6.0558355,-5.365213235,-4.390537573,-3.854640568,-4.094898115,-6.183057047,-7.213181286
