"","Spartina","Weisman","Dumas"
"1",1,NA,NA
"2",1,NA,NA
"3",1,NA,NA
"4",1,NA,NA
"5",1,NA,NA
"6",1,NA,NA
"7",1,NA,NA
"8",1,NA,NA
"9",1,NA,NA
"10",1,NA,NA
"11",1,NA,NA
"12",1,NA,NA
"13",1,NA,NA
"14",1,NA,NA
"15",1,NA,NA
"16",1,NA,NA
"17",1,NA,NA
"18",1,NA,NA
"19",1,NA,NA
"20",1,NA,NA
"21",1,NA,NA
"22",1,NA,NA
"23",1,NA,NA
"24",1,NA,NA
"25",1,NA,NA
"26",1,NA,NA
"27",1,NA,NA
"28",1,1,NA
"29",1,NA,NA
"30",1,NA,NA
"31",1,NA,NA
"32",1,NA,NA
"33",1,NA,NA
"34",1,NA,NA
"35",1,NA,NA
"36",1,1,NA
"37",1,NA,NA
"38",1,NA,NA
"39",1,NA,NA
"40",1,NA,NA
"41",1,NA,NA
"42",1,NA,NA
"43",1,NA,NA
"44",1,NA,NA
"45",1,NA,NA
"46",1,NA,NA
"47",1,NA,NA
"48",1,NA,NA
"49",1,NA,NA
"50",1,NA,NA
"51",1,NA,NA
"52",1,NA,NA
"53",1,1,NA
"54",1,NA,NA
"55",1,NA,NA
"56",1,NA,NA
"57",1,NA,NA
"58",1,NA,NA
"59",1,NA,NA
"60",1,NA,NA
"61",1,NA,NA
"62",1,NA,NA
"63",1,NA,NA
"64",1,NA,NA
"65",1,NA,NA
"66",1,NA,NA
"67",1,NA,NA
"68",1,NA,NA
"69",1,NA,NA
"70",1,1,NA
"71",1,NA,NA
"72",1,NA,NA
"73",1,NA,NA
"74",1,NA,NA
"75",1,NA,NA
"76",1,NA,NA
"77",1,NA,NA
"78",1,NA,NA
"79",1,NA,NA
"80",1,NA,NA
"81",1,1,NA
"82",1,NA,NA
"83",1,NA,NA
"84",1,NA,NA
"85",1,NA,NA
"86",1,NA,NA
"87",1,NA,NA
"88",1,NA,NA
"89",1,NA,NA
"90",1,NA,NA
"91",1,NA,NA
"92",1,NA,NA
"93",1,NA,NA
"94",1,NA,NA
"95",1,NA,NA
"96",1,NA,NA
"97",1,NA,NA
"98",1,NA,NA
"99",1,NA,NA
"100",1,NA,NA
"101",1,NA,NA
"102",1,NA,NA
"103",1,NA,NA
"104",1,NA,NA
"105",1,NA,NA
"106",1,NA,NA
"107",1,NA,NA
"108",1,NA,NA
"109",1,1,NA
"110",1,NA,NA
"111",1,NA,NA
"112",1,NA,NA
"113",1,NA,NA
"114",1,NA,NA
"115",1,NA,NA
"116",1,1,NA
"117",1,NA,NA
"118",1,NA,NA
"119",1,NA,NA
"120",1,NA,NA
"121",1,NA,NA
"122",1,NA,NA
"123",1,NA,NA
"124",1,NA,NA
"125",1,NA,NA
"126",1,NA,NA
"127",1,NA,NA
"128",1,NA,NA
"129",1,NA,NA
"130",1,NA,NA
"131",1,NA,NA
"132",1,NA,NA
"133",1,NA,NA
"134",1,NA,NA
"135",1,NA,NA
"136",1,NA,NA
"137",1,NA,NA
"138",1,NA,NA
"139",1,NA,NA
"140",1,NA,NA
"141",1,NA,NA
"142",1,NA,NA
"143",1,NA,NA
"144",1,NA,NA
"145",1,NA,NA
"146",1,NA,NA
"147",1,NA,NA
"148",1,NA,NA
"149",1,NA,NA
"150",1,NA,NA
"151",1,NA,NA
"152",1,NA,NA
"153",1,NA,NA
"154",1,NA,NA
"155",1,NA,NA
"156",1,NA,NA
"157",1,NA,NA
"158",1,1,NA
"159",1,NA,NA
"160",1,NA,NA
"161",1,NA,NA
"162",1,NA,NA
"163",1,NA,NA
"164",1,NA,NA
"165",1,NA,NA
"166",1,NA,NA
"167",1,NA,NA
"168",1,NA,NA
"169",1,NA,NA
"170",1,NA,NA
"171",1,NA,NA
"172",1,NA,NA
"173",1,NA,NA
"174",1,NA,NA
"175",1,NA,NA
"176",1,NA,NA
"177",1,1,NA
"178",1,NA,NA
"179",1,NA,NA
"180",1,NA,NA
"181",1,NA,NA
"182",1,NA,NA
"183",1,NA,NA
"184",1,1,NA
"185",1,NA,NA
"186",1,NA,NA
"187",1,NA,NA
"188",1,NA,NA
"189",1,NA,NA
"190",1,NA,NA
"191",1,NA,NA
"192",1,NA,NA
"193",1,NA,NA
"194",1,NA,NA
"195",1,NA,NA
"196",1,NA,NA
"197",1,NA,NA
"198",1,NA,NA
"199",1,NA,NA
"200",1,NA,NA
"201",1,NA,NA
"202",1,NA,NA
"203",1,NA,NA
"204",1,NA,NA
"205",1,NA,NA
"206",1,NA,NA
"207",1,NA,NA
"208",1,NA,NA
"209",1,NA,NA
"210",1,NA,NA
"211",1,NA,NA
"212",1,NA,NA
"213",1,NA,NA
"214",1,NA,NA
"215",1,NA,NA
"216",1,NA,NA
"217",1,NA,NA
"218",1,NA,NA
"219",1,NA,NA
"220",1,NA,NA
"221",1,NA,NA
"222",1,NA,NA
"223",1,NA,NA
"224",1,NA,NA
"225",1,NA,NA
"226",1,NA,NA
"227",1,NA,NA
"228",1,NA,NA
"229",1,NA,NA
"230",1,NA,NA
"231",1,NA,NA
"232",1,NA,NA
"233",1,NA,NA
"234",1,NA,NA
"235",1,NA,NA
"236",1,NA,NA
"237",1,NA,NA
"238",1,NA,NA
"239",1,NA,NA
"240",1,NA,NA
"241",1,NA,NA
"242",1,NA,NA
"243",1,NA,NA
"244",1,NA,NA
"245",1,NA,NA
"246",1,NA,NA
"247",1,NA,NA
"248",1,NA,NA
"249",1,NA,NA
"250",1,NA,NA
"251",1,1,NA
"252",1,NA,NA
"253",1,NA,NA
"254",1,NA,NA
"255",1,NA,NA
"256",1,NA,NA
"257",1,NA,NA
"258",1,NA,NA
"259",1,NA,NA
"260",1,1,NA
"261",1,NA,NA
"262",1,NA,NA
"263",1,NA,NA
"264",1,NA,NA
"265",1,NA,NA
"266",1,1,NA
"267",1,NA,NA
"268",1,NA,NA
"269",1,NA,NA
"270",1,NA,NA
"271",1,NA,NA
"272",1,NA,NA
"273",1,NA,NA
"274",1,NA,NA
"275",1,NA,NA
