locus,Gene annotation,,30 min,2 h,4 h,8 h,24 h,,,,
AT1g68620,alpha/beta-hydrolase superfamily protein,,0.93,2.18,1.68,2.77,2.70,,,,
AT3g21560,UGT84A2__UDP-Glycosyltransferase superfamily protein,,0.52,1.48,2.21,1.60,1.93,,,,
AT1g27120,Galactosyltransferase family protein,,0.00,0.91,2.00,2.30,2.45,,,,
AT1g78340,ATGSTU22_GSTU22__glutathione S-transferase TAU 22,,0.04,0.56,1.62,1.75,1.69,,,,
AT1g17170,ATGSTU24_GST_GSTU24__glutathione S-transferase TAU 24,,0.06,0.39,1.57,2.00,2.05,,,,
AT5g36270,pseudogene of dehydroascorbate reductase,,0.00,0.55,1.38,1.56,1.74,,,,
AT4g15480,UGT84A1__UDP-Glycosyltransferase superfamily protein,,0.18,0.47,1.27,1.02,1.40,,,,
AT1g78380,ATGSTU19_GST8_GSTU19__glutathione S-transferase TAU 19,,0.10,0.69,1.23,1.45,1.49,,,,
AT1g05680,UGT74E2__Uridine diphosphate glycosyltransferase 74E2,,0.14,-0.05,1.01,1.80,0.83,,,,
AT1g75270,DHAR2__dehydroascorbate reductase 2,,0.36,0.78,1.09,1.60,1.49,,,,
AT1g64900,"CYP89_CYP89A2__cytochrome P450, family 89, subfamily A, polypeptide 2",,-0.03,0.33,1.08,1.16,1.19,,,,
AT2g12190,Cytochrome P450 superfamily protein,,-0.04,0.43,1.04,0.97,0.96,,,,
AT3g09270,ATGSTU8_GSTU8__glutathione S-transferase TAU 8,,-0.12,0.41,1.15,0.26,1.09,,,,
AT1g58370,ATXYN1_RXF12__glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein,,0.17,0.64,1.13,0.08,-0.86,,,,
AT3g14620,"CYP72A8__cytochrome P450, family 72, subfamily A, polypeptide 8",,-0.05,0.41,-0.13,0.86,1.40,,,,
AT4g34131,UGT73B3__UDP-glucosyl transferase 73B3,,0.33,0.38,0.89,1.31,1.38,,,,
AT4g24160,alpha/beta-Hydrolases superfamily protein,,-0.01,0.40,0.59,1.52,1.25,,,,
AT3g26200,"CYP71B22__cytochrome P450, family 71, subfamily B, polypeptide 22",,0.19,0.72,0.66,1.07,1.07,,,,
AT5g39090,HXXXD-type acyl-transferase family protein,,0.16,0.55,0.45,0.82,1.05,,,,
AT2g29460,ATGSTU4_GST22_GSTU4__glutathione S-transferase tau 4,,0.12,0.52,1.00,1.37,0.95,,,,
AT1g64930,"CYP89A7__cytochrome P450, family 87, subfamily A, polypeptide 7",,0.20,0.36,0.92,0.85,0.94,,,,
AT2g45550,"CYP76C4__cytochrome P450, family 76, subfamily C, polypeptide 4",,-0.01,0.11,-0.15,0.91,0.89,,,,
AT2g29470,ATGSTU3_GST21_GSTU3__glutathione S-transferase tau 3,,0.12,0.40,0.77,1.14,0.76,,,,
AT1g05670,Pentatricopeptide repeat (PPR-like) superfamily protein,,0.20,0.02,0.71,1.30,0.69,,,,
AT3g59140,ABCC10_ATMRP14_MRP14__multidrug resistance-associated protein 14,,-0.15,0.01,0.19,0.76,0.67,,,,
AT2g36770,UDP-Glycosyltransferase superfamily protein,,-0.02,0.19,0.11,1.65,0.64,,,,
AT2g29940,ABCG31_ATPDR3_PDR3__pleiotropic drug resistance 3,,-0.06,0.30,0.22,0.96,0.58,,,,
AT1g55850,ATCSLE1_CSLE1__cellulose synthase like E1,,-0.09,0.17,-0.25,1.17,0.36,,,,
AT1g11610,"CYP71A18__cytochrome P450, family 71, subfamily A, polypeptide 18",,0.03,0.09,0.43,0.47,1.12,,,,
AT3g26210,"CYP71B23__cytochrome P450, family 71, subfamily B, polypeptide 23",,0.24,0.03,0.37,0.21,1.01,,,,
AT3g52430,ATPAD4_PAD4__alpha/beta-Hydrolases superfamily protein,,-0.17,-0.61,-0.33,-0.21,0.79,,,,
AT2g40890,"CYP98A3__cytochrome P450, family 98, subfamily A, polypeptide 3",,0.05,-0.66,-0.92,-0.44,-0.74,,,,
AT1g17190,ATGSTU26_GSTU26__glutathione S-transferase tau 26,,-0.01,-0.19,0.32,-0.31,-1.41,,,,
AT1g69500,"CYP704B1__cytochrome P450, family 704, subfamily B, polypeptide 1",,-0.14,-0.53,-0.28,-0.71,0.71,,,,
AT3g50740,UGT72E1__UDP-glucosyl transferase 72E1,,0.00,-0.38,-0.02,-0.88,-0.18,,,,
AT5g09870,CESA5__cellulose synthase 5,,0.11,-0.09,0.08,-0.76,-0.39,,,,
AT4g12310,"CYP706A5__cytochrome P450, family 706, subfamily A, polypeptide 5",,-0.33,-0.08,-0.33,-0.88,-0.39,,,,
AT4g39350,ATCESA2_ATH-A_CESA2__cellulose synthase A2,,0.12,-0.19,-0.25,-1.10,-0.54,,,,
AT1g26810,GALT1__galactosyltransferase1,,-0.13,-1.16,-1.71,-1.65,-1.79,,,,
