contig,O_sativa_locus_annotation,Functionnal_Annotation_IDs,Functionnal_Annotation_IDs,Functionnal_Annotation_IDs,Functionnal_Annotation_IDs,Functionnal_Annotation_IDs,A_thaliana_locus,Gene_Symbol,Description
S_5sp_contig00017_RC,"LOC_Os01g24680.2|13101.m02609|cDNA 3-hydroxyacyl-CoA dehydrogenase, putative, expressed","PF00378,PF02737,PF00725",PTHR23309,KOG1683,,,AT3G06860.1,"ATMFP2,MFP2",multifunctional protein 2
S_5sp_contig00027_RC,"LOC_Os08g38086.4|13108.m04030|cDNA heat shock protein, putative, expressed","PF02518,PF00183",PTHR11528,KOG0019,,,AT2G04030.1,"AtHsp90.5,CR88,EMB1956,Hsp88.1,HSP90.5",Chaperone protein htpG family protein
S_5sp_contig00033,"LOC_Os10g21358.1|13110.m07744|cDNA chloroplast 50S ribosomal protein L23, putative",PF00276,,,,K02892,ATCG00840.1,,ribosomal protein L23.1
S_5sp_contig00041_RC,LOC_Os08g38086.4|13108.m04030|cDNA,"PF02518,PF00183",PTHR11528,KOG0019,,,AT2G04030.1,"AtHsp90.5,CR88,EMB1956,Hsp88.1,HSP90.5",Chaperone protein htpG family protein
S_5sp_contig00042_RC,LOC_Os08g38086.4|13108.m04030|cDNA,"PF02518,PF00183",PTHR11528,KOG0019,,,AT2G04030.1,"AtHsp90.5,CR88,EMB1956,Hsp88.1,HSP90.5",Chaperone protein htpG family protein
S_5sp_contig00043,"LOC_Os08g38086.3|13108.m04028|cDNA heat shock protein, putative, expressed","PF02518,PF00183",PTHR11528,KOG0019,,,AT2G04030.1,"AtHsp90.5,CR88,EMB1956,Hsp88.1,HSP90.5",Chaperone protein htpG family protein
S_5sp_contig00047_RC,LOC_Os06g46590.3|13106.m10573|cDNA expressed protein,,,,,,AT4G26980.1,,RNI-like superfamily protein
S_5sp_contig00054,LOC_Os02g07230.3|13102.m00820|cDNA,"PF01379,PF03900",PTHR11557,KOG2892,,,AT5G08280.1,HEMC,hydroxymethylbilane synthase
S_5sp_contig00088,"LOC_Os10g21366.1|13110.m07723|cDNA uncharacterized protein ycf73, putative",,,,,,,,
S_5sp_contig00112,"LOC_Os02g09060.2|13102.m00993|cDNA BRCA1-associated protein, putative, expressed","PF07576,PF00097,PF02148",PTHR10420,,,,AT2G26000.2,BRIZ2,zinc finger (C3HC4-type RING finger) family protein
S_5sp_contig00138,"LOC_Os04g16876.1|13104.m11745|cDNA photosystem II reaction center protein Z, putative",PF01737,,,,,ATCG00300.1,,YCF9
S_5sp_contig00164,"LOC_Os06g39718.1|13106.m10442|cDNA chloroplast 50S ribosomal protein L33, putative, expressed",PF00471,,,,K02913,ATCG00640.1,,ribosomal protein L33
S_5sp_contig00211,"LOC_Os02g56850.4|13102.m06532|cDNA glutathione reductase, putative, expressed","PF07992,PF00070,PF02852",PTHR22912,KOG0405,,,AT3G24170.1,"ATGR1,GR1",glutathione-disulfide reductase
S_5sp_contig00250,"LOC_Os08g15308.1|13108.m09259|cDNA chloroplast 30S ribosomal protein S18, putative, expressed",PF01084,PTHR13479,,,,ATCG00650.1,,ribosomal protein S18
S_5sp_contig00257_RC,"LOC_Os09g24406.1|13109.m07519|cDNA uncharacterized protein ycf72, putative",,,,,,,,
S_5sp_contig00262,"LOC_Os07g43330.1|13107.m04554|cDNA heat shock protein DnaJ, putative, expressed",PF00226,PTHR11821,,,,AT1G77930.1,,Chaperone DnaJ-domain superfamily protein
S_5sp_contig00263,LOC_Os07g43330.1|13107.m04554|cDNA,PF00226,PTHR11821,,,,AT1G77930.1,,Chaperone DnaJ-domain superfamily protein
S_5sp_contig00264,LOC_Os07g43330.1|13107.m04554|cDNA,PF00226,PTHR11821,,,,AT1G77930.1,,Chaperone DnaJ-domain superfamily protein
S_5sp_contig00268_RC,"LOC_Os01g57958.1|13101.m14891|cDNA chloroplast 50S ribosomal protein L16, putative, expressed",PF00252,PTHR12220,,,K02878,ATCG00790.1,,ribosomal protein L16
S_5sp_contig00278_RC,"LOC_Os12g34670.1|13112.m03537|cDNA retrotransposon protein, putative, unclassified",PF03578,,,,,,,
S_5sp_contig00297,LOC_Os04g16794.1|13104.m11762|cDNA hypothetical protein,,,,,,,,
S_5sp_contig00355_RC,"LOC_Os12g24250.1|13112.m02464|cDNA retrotransposon protein, putative, unclassified, expressed","PF04810,PF04811,PF08033",PTHR13803,KOG1984,,K14007,AT4G32640.1,,Sec23/Sec24 protein transport family protein
S_5sp_contig00356,"LOC_Os01g56560.1|13101.m05991|cDNA cyclase/dehydrase family protein, expressed",PF03364,PTHR12901,KOG3177,,,AT4G17650.1,,Polyketide cyclase / dehydrase and lipid transport protein
S_5sp_contig00380_RC,LOC_Os02g09060.2|13102.m00993|cDNA,"PF07576,PF00097,PF02148",PTHR10420,,,,AT2G26000.2,BRIZ2,zinc finger (C3HC4-type RING finger) family protein
S_5sp_contig00399,"LOC_Os08g09080.2|13108.m00951|cDNA Cupin domain containing protein, expressed","PF00190,PF07883",,,,,AT5G39110.1,,RmlC-like cupins superfamily protein
S_5sp_contig00420,"LOC_Os10g38274.1|13110.m07797|cDNA ATP synthase C chain, putative",PF00137,,,3.6.3.14,K02110,ATCG00140.1,,ATP synthase subunit C family protein
S_5sp_contig00491_RC,LOC_Os12g39930.1|13112.m04147|cDNA hypothetical protein,,,,,,,,
S_5sp_contig00493,"LOC_Os07g25390.1|13107.m02507|cDNA DRD1, putative, expressed","PF00176,PF00271",PTHR10799,KOG0390,,,AT2G16390.1,"CHR35,DMS1,DRD1",SNF2 domain-containing protein / helicase domain-containing protein
S_5sp_contig00507,"LOC_Os01g58790.2|13101.m15085|cDNA GHMP kinases ATP-binding protein, putative, expressed",PF00288,PTHR20861,,2.7.1.148,K00919,AT2G26930.1,"ATCDPMEK,CDPMEK,ISPE,PDE277",4-(cytidine 5\'-phospho)-2-C-methyl-D-erithritol kinase
S_5sp_contig00515,"LOC_Os03g44560.1|13103.m04796|cDNA expp1 protein precursor, putative, expressed",,PTHR21454,,,,AT3G44150.1,,
S_5sp_contig00676_RC,"LOC_Os12g02540.1|13112.m00189|cDNA BTBN23 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed",PF03000,,,,,AT3G08570.1,,Phototropic-responsive NPH3 family protein
S_5sp_contig00785,LOC_Os08g38086.4|13108.m04030|cDNA,"PF02518,PF00183",PTHR11528,KOG0019,,,AT2G04030.1,"AtHsp90.5,CR88,EMB1956,Hsp88.1,HSP90.5",Chaperone protein htpG family protein
S_5sp_contig00791_RC,"LOC_Os06g06280.1|13106.m00643|cDNA galactosyltransferase family protein, putative, expressed",PF01762,PTHR11214,KOG2288,,,AT1G53290.1,,Galactosyltransferase family protein
S_5sp_contig00921,"LOC_Os10g21236.1|13110.m07700|cDNA chloroplast ATP synthase a chain precursor, putative",PF00119,PTHR11410,KOG4665,3.6.3.14,K02108,ATCG00150.1,,"ATPase, F0 complex, subunit A protein"
S_5sp_contig01085,LOC_Os10g33030.1|13110.m02902|cDNA conserved hypothetical protein,,,,,,AT3G11310.1,,
S_5sp_contig01102_RC,"LOC_Os03g04000.1|13103.m00406|cDNA AMP-binding domain containing protein, expressed",PF00501,PTHR11968,KOG1176,6.2.1.-,K10526,AT1G20510.1,OPCL1,OPC-8:0 CoA ligase1
S_5sp_contig01103_RC,LOC_Os03g04000.1|13103.m00406|cDNA,PF00501,PTHR11968,KOG1176,6.2.1.-,K10526,AT1G20510.1,OPCL1,OPC-8:0 CoA ligase1
S_5sp_contig01491,"LOC_Os11g45190.1|13111.m04512|cDNA NB-ARC domain containing protein, expressed",PF00931,PTHR23155,KOG4658,,,AT3G14470.1,,NB-ARC domain-containing disease resistance protein
S_5sp_contig01744,"LOC_Os03g19560.3|13103.m02341|cDNA tetratricopeptide repeat domain containing protein, expressed",,PTHR11246,,,,AT3G17040.1,HCF107,high chlorophyll fluorescent 107
S_5sp_contig01745,"LOC_Os03g19560.1|13103.m02340|cDNA tetratricopeptide repeat domain containing protein, expressed",,PTHR11246,,,,AT3G17040.1,HCF107,high chlorophyll fluorescent 107
S_5sp_contig01748,"LOC_Os05g06310.1|13105.m00673|cDNA 60S ribosomal protein L18-3, putative, expressed",PF00828,PTHR10934,KOG1714,,K02883,AT5G27850.1,,Ribosomal protein L18e/L15 superfamily protein
S_5sp_contig01800,LOC_Os11g45130.1|13111.m04506|cDNA,"PF04665,PF00931",PTHR23155,KOG4658,,,AT1G58390.1,,Disease resistance protein (CC-NBS-LRR class) family
S_5sp_contig01918,LOC_Os03g19560.3|13103.m02341|cDNA,,PTHR11246,,,,AT3G17040.1,HCF107,high chlorophyll fluorescent 107
S_5sp_contig02089,"LOC_Os01g07410.1|13101.m00754|cDNA growth regulator related protein, putative, expressed",PF10250,,,,,AT1G14020.1,,O-fucosyltransferase family protein
S_5sp_contig02092,"LOC_Os03g63410.2|13103.m07029|cDNA elongation factor Tu, putative, expressed","PF00009,PF03144",PTHR23115,,,,AT4G02930.1,,GTP binding Elongation factor Tu family protein
S_5sp_contig02515_RC,"LOC_Os02g42920.1|13102.m04759|cDNA DTA2, putative, expressed",PF05686,PTHR12203,KOG2458,,,AT5G23850.1,,Arabidopsis thaliana protein of unknown function (DUF821)
S_5sp_contig02519,LOC_Os08g37300.1|13108.m03923|cDNA expressed protein,,,,,,AT2G10940.1,,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
S_5sp_contig02769_RC,"LOC_Os12g42520.1|13112.m04468|cDNA receptor kinase, putative","PF08263,PF00560,PF00069,PF07714",PTHR23258,KOG1187,2.7.11.1,K13428,AT3G47570.1,,Leucine-rich repeat protein kinase family protein
S_5sp_contig02841_RC,LOC_Os12g23620.1|13112.m02399|cDNA hypothetical protein,,,,,,,,
S_5sp_contig03060,"LOC_Os01g38530.1|13101.m03929|cDNA ELF3 protein, putative, expressed",,,,,,AT2G25930.1,"ELF3,PYK20",hydroxyproline-rich glycoprotein family protein
S_5sp_contig03149_RC,LOC_Os05g49890.3|13105.m10415|cDNA,"PF00025,PF00071,PF08477",PTHR11708,,,,AT5G55190.1,"ATRAN3,RAN3",RAN GTPase 3
S_5sp_contig03205,"LOC_Os12g38290.1|13112.m03944|cDNA metallothionein, putative, expressed",PF01439,,,,,AT3G09390.1,"ATMT-1,ATMT-K,MT2A",metallothionein 2A
S_5sp_contig03562,LOC_Os06g36360.4|13106.m03759|cDNA,"PF01909,PF04928,PF04926",PTHR10682,KOG2245,,,AT4G32850.5,"nPAP,PAP(IV)",nuclear poly(a) polymerase
S_5sp_contig03651_RC,LOC_Os12g21734.1|13112.m02201|cDNA expressed protein,,,,,,,,
S_5sp_contig03718,"LOC_Os03g25940.4|13103.m12981|cDNA cystathionine gamma-synthase, putative, expressed","PF01053,PF01212",PTHR11808,KOG0053,2.5.1.48,K01739,AT3G01120.1,"ATCYS1,CGS,CGS1,MTO1",Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
S_5sp_contig03722,"LOC_Os12g18374.2|13112.m08874|cDNA NB-ARC domain containing protein, expressed",PF00931,,KOG4658,,,AT3G46530.1,RPP13,NB-ARC domain-containing disease resistance protein
S_5sp_contig03758,"LOC_Os02g40900.2|13102.m04565|cDNA RNA recognition motif containing protein, putative, expressed",,,,,,,,
S_5sp_contig03864_RC,LOC_Os08g41390.2|13108.m04441|cDNA,"PF00254,PF00515,PF07719",PTHR10516,KOG0543,5.2.1.8,K09571,AT3G25230.1,"ATFKBP62,FKBP62,ROF1",rotamase FKBP 1
S_5sp_contig03957,"LOC_Os02g56560.2|13102.m06500|cDNA CK1_CaseinKinase_1.6 - CK1 includes the casein kinase 1 kinases, expressed","PF00069,PF07714",PTHR11909,KOG1165,,,AT3G23340.1,ckl10,casein kinase I-like 10
S_5sp_contig03958,LOC_Os02g56560.2|13102.m06500|cDNA,"PF00069,PF07714",PTHR11909,KOG1165,,,AT3G23340.1,ckl10,casein kinase I-like 10
S_5sp_contig03960,LOC_Os02g56560.2|13102.m06500|cDNA,"PF00069,PF07714",PTHR11909,KOG1165,,,AT3G23340.1,ckl10,casein kinase I-like 10
S_5sp_contig04151_RC,"LOC_Os10g21396.1|13110.m07729|cDNA NADPH-dependent oxidoreductase, putative, expressed",PF00146,PTHR11432,KOG4770,1.6.5.3,K05572,ATCG01100.1,,NADH dehydrogenase family protein
S_5sp_contig04152_RC,LOC_Os10g21388.1|13110.m07727|cDNA expressed protein,,,,,,,,
S_5sp_contig04252_RC,"LOC_Os09g30454.1|13109.m03050|cDNA OsWAK87 - OsWAK receptor-like protein kinase, expressed","PF07645,PF00069,PF07714",PTHR23258,KOG1187,,,AT1G21240.1,WAK3,wall associated kinase 3
S_5sp_contig04310,"LOC_Os03g08300.2|13103.m00953|cDNA glycosyl transferase, group 1 domain containing protein, expressed",PF00534,PTHR13036,KOG2941,2.4.1.142,K03842,AT1G16570.1,,UDP-Glycosyltransferase superfamily protein
S_5sp_contig04325,LOC_Os03g08300.2|13103.m00953|cDNA,PF00534,PTHR13036,KOG2941,2.4.1.142,K03842,AT1G16570.1,,UDP-Glycosyltransferase superfamily protein
S_5sp_contig04392,"LOC_Os10g41030.3|13110.m03816|cDNA agenet domain containing protein, putative, expressed",PF05641,,,,,AT4G17330.1,"ATG2484-1,G2484-1",G2484-1 protein
S_5sp_contig04398,LOC_Os10g41030.3|13110.m03816|cDNA,PF05641,,,,,AT4G17330.1,"ATG2484-1,G2484-1",G2484-1 protein
S_5sp_contig04407,"LOC_Os03g27080.2|13103.m03169|cDNA calmodulin-binding transcription activator 2, putative, expressed","PF00023,PF00612",PTHR23335,,,,AT5G09410.3,"CAMTA1,EICBP.B",ethylene induced calmodulin binding protein
S_5sp_contig04408,LOC_Os03g27080.2|13103.m03169|cDNA,"PF00023,PF00612",PTHR23335,,,,AT5G09410.3,"CAMTA1,EICBP.B",ethylene induced calmodulin binding protein
S_5sp_contig04419,LOC_Os03g27080.2|13103.m03169|cDNA,"PF00023,PF00612",PTHR23335,,,,AT5G09410.3,"CAMTA1,EICBP.B",ethylene induced calmodulin binding protein
S_5sp_contig04420,LOC_Os03g27080.2|13103.m03169|cDNA,"PF00023,PF00612",PTHR23335,,,,AT5G09410.3,"CAMTA1,EICBP.B",ethylene induced calmodulin binding protein
S_5sp_contig04421,"LOC_Os01g72880.1|13101.m07948|cDNA DNA mismatch repair protein Mlh1, putative, expressed","PF02518,PF01119",PTHR10073,KOG1979,,K08734,AT4G09140.1,"ATMLH1,MLH1",MUTL-homologue 1
S_5sp_contig04422_RC,LOC_Os08g39490.3|13108.m04215|cDNA expressed protein,,,,,,AT2G42320.1,,nucleolar protein gar2-related
S_5sp_contig04475,LOC_Os01g68320.5|13101.m07438|cDNA,"PF00270,PF00271",PTHR10967,KOG0331,,,AT5G63120.2,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
S_5sp_contig04583,LOC_Os02g03670.7|13102.m12353|cDNA expressed protein,PF09353,,,,,AT5G48790.1,,Domain of unknown function (DUF1995)
S_5sp_contig04677,LOC_Os12g42884.3|13112.m04524|cDNA,"PF08267,PF01717",,KOG2263,2.1.1.14,K00549,AT5G17920.1,"ATCIMS,ATMETS,ATMS1",Cobalamin-independent synthase family protein
S_5sp_contig04693_RC,"LOC_Os03g44630.1|13103.m04806|cDNA plastocyanin-like domain containing protein, putative, expressed",PF02298,,,,,AT2G32300.1,UCC1,uclacyanin 1
S_5sp_contig04696_RC,LOC_Os03g44630.1|13103.m04806|cDNA,PF02298,,,,,AT2G32300.1,UCC1,uclacyanin 1
S_5sp_contig04698_RC,LOC_Os03g44630.1|13103.m04806|cDNA,PF02298,,,,,AT2G32300.1,UCC1,uclacyanin 1
