,locus,SpartinaOil,BacterialPathogen,FungalPathogen,Herbivore,Virus,Cold,Heat,Osmotic,UVB,Wound,Drought,Genotoxic,Unannotated,BaseResponseSum,array_element_name,array_element_type,organism,is_control,description,chromosome,start,stop
1,AT1G06570,1,0,0,1,0,1,1,1,0,1,0,0,0,5,262635_at,oligonucleotide,Arabidopsis thaliana,no,phytoene desaturation 1,1,"20,120,582,012,189","20,122,972,012,721"
2,AT1G11380,1,1,0,0,0,1,1,0,1,1,1,0,0,5,261822_at,oligonucleotide,Arabidopsis thaliana,no,PLAC8 family protein,1,"38,329,243,833,008,300,000,000,000,000,000,000","38,335,023,833,609,300,000,000,000,000,000,000"
3,AT1G22180,1,0,0,0,0,1,1,1,1,1,0,0,0,5,255923_at,oligonucleotide,Arabidopsis thaliana,no,Sec14p-like phosphatidylinositol transfer family protein,1,"78,284,527,828,784","78,288,677,829,014"
4,AT1G29330,1,0,0,0,1,0,1,1,1,1,1,0,0,5,260897_at,oligonucleotide,Arabidopsis thaliana,no,ER lumen protein retaining receptor family protein,1,"102,585,831,025,861,000,000,000,000,000,000,000,000,000,000,000","102,593,281,025,944,000,000,000,000,000,000,000,000,000,000,000"
5,AT1G32060,1,0,0,0,1,1,0,1,1,1,0,0,0,5,255720_at,oligonucleotide,Arabidopsis thaliana,no,phosphoribulokinase,1,"115,337,031,153,372,000,000,000","115,340,541,153,415,000,000,000"
6,AT1G56170,1,0,0,1,0,1,1,1,1,0,1,0,0,5,262098_at,oligonucleotide,Arabidopsis thaliana,no,"nuclear factor Y, subunit C2",1,21025162,21025693
7,AT1G62710,1,0,0,1,0,1,0,1,1,1,0,0,0,5,262644_at,oligonucleotide,Arabidopsis thaliana,no,beta vacuolar processing enzyme,1,"232,240,842,322,425,000,000,000","232,245,422,322,464,000,000,000"
8,AT1G69830,1,1,0,0,1,1,0,1,1,0,0,0,0,5,260412_at,oligonucleotide,Arabidopsis thaliana,no,alpha-amylase-like 3,1,"26,288,555,262,886,700,000,000,000,000,000","26,289,028,262,891,500,000,000,000,000,000"
9,AT1G73480,1,0,0,1,0,1,1,1,1,1,1,0,0,6,245734_at,oligonucleotide,Arabidopsis thaliana,no,alpha/beta-Hydrolases superfamily protein,1,"276,317,432,763,181,000,000,000","276,319,912,763,208,000,000,000"
10,AT1G74940,1,0,0,0,0,1,1,1,1,1,0,0,0,5,262170_at,oligonucleotide,Arabidopsis thaliana,no,Protein of unknown function (DUF581),1,"2,814,636,728,146,790","2,814,690,628,147,050"
11,AT1G77120,1,0,0,0,1,1,1,1,1,1,0,0,0,6,264953_at,oligonucleotide,Arabidopsis thaliana,no,alcohol dehydrogenase 1,1,"28,976,440,289,765,300,000,000,000,000,000","28,976,863,289,770,200,000,000,000,000,000"
12,AT1G78070,1,0,0,1,0,1,1,1,0,1,1,0,0,5,262164_at,oligonucleotide,Arabidopsis thaliana,no,Transducin/WD40 repeat-like superfamily protein,1,"293,553,242,935,536,000,000,000,000,000,000,000,000,000,000,000","293,570,852,935,721,000,000,000,000,000,000,000,000,000,000,000"
13,AT2G20180,1,0,0,0,0,1,1,1,1,1,0,0,0,5,265584_at,oligonucleotide,Arabidopsis thaliana,no,phytochrome interacting factor 3-like 5,2,"870,474,387,050,278,000,000","870,519,987,052,828,000,000"
14,AT2G23890,1,0,0,0,1,1,1,1,1,0,0,0,0,5,266574_at,oligonucleotide,Arabidopsis thaliana,no,"HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase",2,"10,172,587,101,726,300,000,000,000,000,000","10,172,945,101,729,800,000,000,000,000,000"
15,AT2G24100,1,0,0,1,0,1,1,1,1,1,0,0,0,6,265999_at,oligonucleotide,Arabidopsis thaliana,no,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G30780.1); Has 101 Blast hits to 101 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 95; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink).,2,"1,024,603,610,246,140","1,024,622,210,246,690"
16,AT2G35710,1,0,0,0,0,1,1,1,1,1,1,0,0,5,265841_at,oligonucleotide,Arabidopsis thaliana,no,Nucleotide-diphospho-sugar transferases superfamily protein,2,"1,501,099,515,011,460","1,501,154,315,011,590"
17,AT2G35710,1,0,0,0,0,1,1,1,1,1,1,0,0,5,265797_at,oligonucleotide,Arabidopsis thaliana,no,Nucleotide-diphospho-sugar transferases superfamily protein,2,"1,501,223,115,012,230","1,501,372,715,014,060"
18,AT2G46420,1,0,0,1,0,1,1,0,1,1,0,1,0,5,263787_at,oligonucleotide,Arabidopsis thaliana,no,Plant protein 1589 of unknown function,2,"19,055,903,190,560,000,000,000,000,000,000","19,056,545,190,566,300,000,000,000,000,000"
19,AT3G05320,1,0,0,0,1,1,1,0,1,1,1,0,0,5,259325_at,oligonucleotide,Arabidopsis thaliana,no,O-fucosyltransferase family protein,3,1513572,1514138
20,AT3G14770,1,0,0,1,0,1,1,1,1,0,0,0,0,5,256548_at,oligonucleotide,Arabidopsis thaliana,no,Nodulin MtN3 family protein,3,"4,957,789,495,790,340,000,000,000,000","4,958,200,495,835,840,000,000,000,000"
21,AT3G16360,1,0,1,0,1,0,0,1,1,1,0,0,0,5,259329_at,oligonucleotide,Arabidopsis thaliana,no,HPT phosphotransmitter 4,3,"5,554,500,555,464,150,000,000,000,000","5,555,018,555,508,950,000,000,000,000"
22,AT3G23250,1,0,0,0,1,1,0,1,1,1,1,1,0,5,257919_at,oligonucleotide,Arabidopsis thaliana,no,myb domain protein 15,3,8310080,8310620
23,AT3G27540,1,0,0,1,0,1,1,1,1,1,1,1,0,6,257999_at,oligonucleotide,Arabidopsis thaliana,no,"beta-1,4-N-acetylglucosaminyltransferase family protein",3,10206291,10206822
24,AT3G61060,1,0,0,0,0,1,1,1,1,1,0,0,0,5,251356_at,oligonucleotide,Arabidopsis thaliana,no,phloem protein 2-A13,3,"226,034,532,260,349,000,000,000","226,037,022,260,391,000,000,000"
25,AT4G10270,1,0,0,0,1,1,1,1,1,0,0,1,0,5,255807_at,oligonucleotide,Arabidopsis thaliana,no,Wound-responsive family protein,4,6374807,6375074
26,AT4G15530,1,0,0,1,1,1,1,1,1,0,1,1,0,6,245528_at,oligonucleotide,Arabidopsis thaliana,no,pyruvate orthophosphate dikinase,4,"8,864,839,886,487,380,000,000,000,000","8,865,235,886,537,280,000,000,000,000"
27,AT4G24380,1,0,0,0,1,1,0,1,1,1,1,0,0,5,254158_at,oligonucleotide,Arabidopsis thaliana,no,"INVOLVED IN: 10-formyltetrahydrofolate biosynthetic process, folic acid and derivative biosynthetic process; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Serine hydrolase (InterPro:IPR005645); BEST Arabidopsis thaliana protein match is: alpha/beta-Hydrolases superfamily protein (TAIR:AT5G65400.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",4,"1,261,267,112,612,770,000,000,000,000,000,000,000,000","1,261,307,612,613,160,000,000,000,000,000,000,000,000"
28,AT4G24810,1,1,0,0,0,1,0,1,1,1,0,0,0,5,254133_at,oligonucleotide,Arabidopsis thaliana,no,Protein kinase superfamily protein,4,"127,869,281,278,707,000,000,000,000,000,000,000,000,000,000,000","127,876,771,278,778,000,000,000,000,000,000,000,000,000,000,000"
29,AT4G27280,1,0,0,0,1,1,1,1,1,1,1,1,0,6,253915_at,oligonucleotide,Arabidopsis thaliana,no,Calcium-binding EF-hand family protein,4,13663780,13664156
30,AT4G27940,1,0,0,1,0,1,1,1,1,1,0,0,0,6,253824_at,oligonucleotide,Arabidopsis thaliana,no,manganese tracking factor for mitochondrial SOD2,4,"139,058,171,390,587,000,000,000,000,000,000,000,000,000,000,000","139,065,241,390,667,000,000,000,000,000,000,000,000,000,000,000"
31,AT4G32770,1,0,0,1,1,1,0,1,1,0,0,0,0,5,253394_at,oligonucleotide,Arabidopsis thaliana,no,"tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)",4,"15,806,979,158,070,500,000,000,000,000,000","15,807,357,158,075,000,000,000,000,000,000"
32,AT4G39670,1,0,0,0,1,1,0,1,1,1,0,0,0,5,252908_at,oligonucleotide,Arabidopsis thaliana,no,Glycolipid transfer protein (GLTP) family protein,4,18410240,18410814
33,AT5G06690,1,1,0,0,1,1,0,1,1,0,0,0,0,5,250649_at,oligonucleotide,Arabidopsis thaliana,no,WCRKC thioredoxin 1,5,"20,607,442,060,749,200,000,000,000,000,000,000","20,610,472,061,136,200,000,000,000,000,000,000"
34,AT5G25450,1,0,0,0,0,1,1,1,1,1,0,0,0,5,246944_at,oligonucleotide,Arabidopsis thaliana,no,"Cytochrome bd ubiquinol oxidase, 14kDa subunit",5,"8,857,038,885,712,980,000,000,000,000","8,857,649,885,769,680,000,000,000,000"
