AT,TargetID
AT1G15860,S_alt_contig03745
AT1G78300,S_alt_contig03758
AT3G15730,S_alt_contig03779_RC
AT1G27920,S_alt_contig03781_RC
NA,S_alt_contig03786_NB
NA,S_alt_contig03789
AT4G28610,S_5sp_contig21194
AT5G01520,S_alt_contig03796
AT2G40600,S_alt_contig03801
AT2G44680,S_alt_contig03802
AT2G17710,S_alt_contig03803
AT1G49340,S_alt_contig03812
AT2G24390,S_alt_contig03816
AT3G58730,S_alt_contig03847_RC
NA,S_alt_contig03850_NB
AT2G04400,S_alt_contig03852
NA,S_alt_contig03862_RC
AT1G80570,S_alt_contig03866
NA,S_alt_contig03867_NB
AT4G23160,S_5sp_contig21350_RC
AT2G20810,S_alt_contig03890_RC
AT3G20390,S_alt_contig03891
AT1G32790,S_alt_contig03898
AT4G23160,S_5sp_contig21353_RC
AT3G10620,S_alt_contig03906
AT3G07550,S_alt_contig03914
AT3G46020,S_alt_contig03919
AT4G00630,S_alt_contig03920
AT5G06510,S_alt_contig03921
AT1G80300,S_alt_contig03928
AT5G13020,S_5sp_contig21391_RC
AT5G56360,S_alt_contig03939
AT5G65180,S_alt_contig03947
AT3G28730,S_alt_contig03952
NA,S_alt_contig03957_RC
AT5G11710,S_alt_contig03960
AT3G48140,S_alt_contig03961
AT4G39090,S_alt_contig03963
NA,S_alt_contig03969_NB
AT1G71410,S_alt_contig03981_RC
NA,S_alt_contig03982_NB
AT5G64930,S_5sp_contig21496_RC
AT5G08520,S_alt_contig03993
NA,S_alt_contig03995_NB
AT5G61960,S_5sp_contig05305
AT3G47680,S_alt_contig04009_RC
AT5G64740,S_alt_contig04013
AT3G12480,S_alt_contig04016
NA,S_alt_contig04023_NB
AT1G67300,S_alt_contig04026_RC
AT3G18850,S_alt_contig04027
NA,S_alt_contig04029_NB
AT2G38020,S_alt_contig04036_RC
AT1G01090,S_5sp_contig21519
AT2G14830,S_alt_contig04043
NA,S_alt_contig04050_NB
AT4G18260,S_alt_contig04052
AT1G48790,S_5sp_contig21531
NA,S_alt_contig04067_NB
AT5G13450,S_alt_contig04068
AT4G34610,S_alt_contig04076
NA,S_alt_contig04084_NB
AT5G65840,S_alt_contig04092
AT1G63690,S_alt_contig04094_RC
AT3G02830,S_5sp_contig21555
AT5G55060,S_alt_contig04111
AT1G05960,S_alt_contig04116
AT5G22850,S_alt_contig04121_RC
AT3G02760,S_alt_contig04132
AT1G75660,S_alt_contig04133
AT5G64300,S_alt_contig04153
AT1G76620,S_alt_contig04163_RC
AT1G35470,S_alt_contig04164
AT2G20900,S_alt_contig04173
NA,S_alt_contig04175_NB
NA,S_alt_contig04186_NB
AT1G09580,S_alt_contig04187
AT5G08110,S_alt_contig04195_RC
AT3G24430,S_alt_contig04198_RC
AT5G54600,S_alt_contig04199
AT5G38660,S_alt_contig04206
AT4G13360,S_5sp_contig21599
NA,S_alt_contig04231_NB
AT1G79550,S_alt_contig04232_RC
AT3G01390,S_alt_contig04236
AT5G08565,S_alt_contig04238
AT5G21070,S_alt_contig04240_RC
AT3G54460,S_alt_contig04243
AT5G14460,S_alt_contig04256
NA,S_alt_contig04263_NB
AT1G50920,S_alt_contig04273
AT5G55760,S_alt_contig04280
AT5G03080,S_alt_contig04282
AT3G52730,S_alt_contig04287
NA,S_alt_contig04289_RC
AT1G54630,S_alt_contig04291
AT3G62870,S_alt_contig04296
AT5G48870,S_alt_contig04309
AT5G50180,S_alt_contig04325_RC
AT4G33950,S_alt_contig04328
NA,S_alt_contig04333_NB
AT1G67785,S_alt_contig04337
AT2G36990,S_alt_contig04345
AT1G69670,S_alt_contig04350_RC
NA,S_alt_contig04355_NB
AT5G24300,S_alt_contig04362_RC
AT4G20410,S_alt_contig04372_RC
AT1G03350,S_alt_contig04385
AT2G36740,S_alt_contig04387
AT1G31330,S_alt_contig04394
AT5G57360,S_alt_contig04395_RC
AT1G05805,S_alt_contig04400
AT3G56720,S_alt_contig04402
AT5G47120,S_alt_contig04410
AT3G51000,S_alt_contig04419
AT5G44800,S_alt_contig04420
AT4G37740,S_alt_contig04424
AT5G23960,S_alt_contig04438_RC
AT4G13650,S_5sp_contig21820_RC
AT3G47470,S_alt_contig04449
AT1G56720,S_5sp_contig21821_RC
AT5G60580,S_alt_contig04466_RC
AT5G10650,S_alt_contig04470_RC
AT1G34220,S_alt_contig04476
AT1G76380,S_5sp_contig21835
AT5G26040,S_alt_contig04480
AT1G13960,S_5sp_contig21849
NA,S_alt_contig04493_NB
AT5G18520,S_alt_contig04500_RC
AT5G23890,S_alt_contig04502
AT3G13882,S_alt_contig04505
AT3G54650,S_alt_contig04510_RC
