AT,GO,contig,O_sativa_locus_annotation,ProbeName,TargetID,Sig Index PrF_T3_Oil,Sig Index PrF_T3_State,Sum Sig Index for F-Tests,Avg Sig Index for F-Tests
AT1G15860,GO:0005634/GO:0008150/GO:0005634/GO:0005634,S_alt_contig03745,LOC_Os08g34070,CUST_10002_PI428634872,S_alt_contig03745,1,0,1,0.5
AT1G78300,GO:0009742/GO:0005773/GO:0005774/GO:0005737/GO:0005829/GO:0005774/GO:0019904/GO:0005794/GO:0045309/GO:0005773/GO:0009742/GO:0005886/GO:0005774,S_alt_contig03758,LOC_Os08g37490,CUST_10013_PI428634872,S_alt_contig03758,1,0,1,0.5
AT3G15730,GO:0009507/GO:0016020/GO:0004630/GO:0005515/GO:0006631/GO:0009789/GO:0004630/GO:0016020/GO:0006972/GO:0004630/GO:0010119/GO:0007030/GO:0005546/GO:0046686/GO:0009737/GO:0030136/GO:0006833/GO:0006094/GO:0016020/GO:0046686/GO:0009266/GO:0005829/GO:0009789/GO:0006096/GO:0006972/GO:0004630/GO:0009506/GO:0007030/GO:0006096/GO:0005739/GO:0006631/GO:0009651/GO:0005509/GO:0006631/GO:0030136/GO:0003824/GO:0009507/GO:0005886/GO:0004630/GO:0048767/GO:0005634/GO:0009845/GO:0009651/GO:0048767/GO:0006631,S_alt_contig03779_RC,LOC_Os01g07760,CUST_10030_PI428634872,S_alt_contig03779_RC,1,0,1,0.5
AT1G27920,GO:0000226/GO:0003674/GO:0009524/GO:0008150/GO:0005874/GO:0009524/GO:0000226/GO:0005819,S_alt_contig03781_RC,LOC_Os08g41890,CUST_10032_PI428634872,S_alt_contig03781_RC,1,1,2,1
NA,,S_alt_contig03786_NB,,CUST_10037_PI428634872,S_alt_contig03786_NB,1,0,1,0.5
NA,,S_alt_contig03789,LOC_Os03g48190,CUST_10039_PI428634872,S_alt_contig03789,1,0,1,0.5
AT4G28610,GO:0006355/GO:0005634/GO:0071486/GO:0006355/GO:0055063/GO:0005634/GO:0007623/GO:0003700/GO:0071486/GO:0006355/GO:0016036/GO:0016036,S_5sp_contig21194,LOC_Os07g25710,CUST_1003_PI428634872,S_5sp_contig21194,1,1,2,1
AT5G01520,GO:0008270/GO:0015996/GO:0005829/GO:0005634/GO:0008270/GO:0015996,S_alt_contig03796,LOC_Os07g46700,CUST_10044_PI428634872,S_alt_contig03796,1,1,2,1
AT2G40600,GO:0005829/GO:0008150/GO:0003674,S_alt_contig03801,LOC_Os03g21830,CUST_10048_PI428634872,S_alt_contig03801,1,0,1,0.5
AT2G44680,GO:0005956/GO:0004674/GO:0005737/GO:0016567/GO:0048573/GO:0005956/GO:0019887/GO:0042753/GO:0048573/GO:0007623/GO:0004674/GO:0016567/GO:0005634/GO:0005634/GO:0005956/GO:0016567/GO:0019887,S_alt_contig03802,LOC_Os07g31280,CUST_10049_PI428634872,S_alt_contig03802,1,1,2,1
AT2G17710,GO:0005739/GO:0008150/GO:0003674,S_alt_contig03803,LOC_Os04g47310,CUST_10050_PI428634872,S_alt_contig03803,1,1,2,1
AT1G49340,GO:0005886/GO:0009506/GO:0035004/GO:0004430/GO:0035004/GO:0048015/GO:0046854/GO:0048471/GO:0005886/GO:0005737/GO:0016772/GO:0046854/GO:0004430/GO:0006468/GO:0070273/GO:0016773/GO:0070300/GO:0016772/GO:0046854/GO:0016773/GO:0006468/GO:0005546/GO:0048015/GO:0004430/GO:0051015/GO:0046854/GO:0048471/GO:0004430/GO:0006468/GO:0005737,S_alt_contig03812,LOC_Os03g50320,CUST_10056_PI428634872,S_alt_contig03812,1,0,1,0.5
AT2G24390,GO:0003674/GO:0008150/GO:0005634/GO:0005634/GO:0005634,S_alt_contig03816,LOC_Os06g48960,CUST_10059_PI428634872,S_alt_contig03816,1,1,2,1
