id	target	name	accession	tlen	query	name	accession	qlen				
3HCDH_N	PF02737.16	180	S_5sp_contig00017_RC	-	85	2.20E-06	27.6	0.1				
HSP90	PF00183.16	518	S_5sp_contig00027_RC	-	242	3.30E-22	78.9	0.2				
HSP90	PF00183.16	518	S_5sp_contig00027_RC	-	241	8.40E-75	252.4	1.7				
Ribosomal_L23	PF00276.18	86	S_5sp_contig00033	-	138	6.40E-23	80.8	0				
HSP90	PF00183.16	518	S_5sp_contig00041_RC	-	105	2.80E-38	131.9	0				
HSP90	PF00183.16	518	S_5sp_contig00042_RC	-	105	5.30E-38	131	0				
HSP90	PF00183.16	518	S_5sp_contig00043	-	265	7.70E-15	54.6	3.5				
HATPase_c	PF02518.24	111	S_5sp_contig00043	-	265	7.40E-14	52.1	0				
HATPase_c_3	PF13589.4	137	S_5sp_contig00043	-	265	3.20E-12	46.3	0.1				
Porphobil_deamC	PF03900.13	75	S_5sp_contig00054	-	188	6.60E-06	26.3	0				
Ycf9	PF01737.15	58	S_5sp_contig00138	-	237	3.20E-23	81.2	9.6				
PSI_PsaJ	PF01701.16	37	S_5sp_contig00164	-	356	8.50E-20	70.9	0.2				
Ribosomal_L33	PF00471.18	47	S_5sp_contig00164	-	356	4.00E-17	62.2	4.7				
Ribosomal_L33	PF00471.18	47	S_5sp_contig00164	-	356	4.00E-17	62.2	4.7				
Pyr_redox	PF00070.25	81	S_5sp_contig00211	-	50	0.00011	22.5	0				
Ribosomal_S18	PF01084.18	52	S_5sp_contig00250	-	159	4.20E-18	65.2	0.7				
Sec23_helical	PF04815.13	103	S_5sp_contig00355_RC	-	219	3.40E-11	42.7	0				
Gelsolin	PF00626.20	76	S_5sp_contig00355_RC	-	219	2.30E-06	27.3	0				
Polyketide_cyc	PF03364.18	130	S_5sp_contig00356	-	172	9.70E-14	51.6	0.1				
Polyketide_cyc	PF03364.18	130	S_5sp_contig00356	-	172	1.40E-07	31.7	0				
Cupin_1	PF00190.20	151	S_5sp_contig00399	-	278	6.90E-46	155.4	0.2				
Cupin_2	PF07883.9	71	S_5sp_contig00399	-	278	2.40E-08	33.4	0				
HSP90	PF00183.16	518	S_5sp_contig00785	-	157	3.20E-10	39.3	0				
Galactosyl_T	PF01762.19	195	S_5sp_contig00791_RC	-	158	6.30E-13	48.8	0				
AMP-binding	PF00501.26	423	S_5sp_contig01102_RC	-	44	3.30E-15	55.5	0.1				
AMP-binding_C	PF13193.4	74	S_5sp_contig01103_RC	-	176	5.00E-19	68.9	0.2				
