family	At IDs	related_spartina_contigs
glycosyltransferase gene family	AT4G14100	S_5sp_contig45177
cytochrome P450 family	AT1G13110	"S_alt_contig10535; S_alt_contig10540"
alpha/beta-Hydrolases superfamily protein	AT3G23600	"S_5sp_contig40375; S_alt_contig03240_RC"
ABC transporter family	AT3G47730	"S_alt_contig04503; S_alt_contig05968"
alpha/beta-Hydrolases superfamily protein	AT4G30610	S_5sp_contig33415_RC
alpha/beta-Hydrolases superfamily protein	AT5G53050	"S_5sp_contig30082_RC; S_5sp_contig14375; S_5sp_contig49365_RC"
cytochrome P450 family	AT4G15110	S_5sp_contig42681
glutathione S-transferase gene family	AT2G02390	"S_5sp_contig44107; S_alt_contig01355"
glycosyltransferase gene family	AT1G43620	S_5sp_contig44608
alpha/beta-Hydrolases superfamily protein	AT3G52570	S_5sp_contig42725
ABC transporter family	AT3G21250	S_5sp_contig38429
glycosyltransferase gene family	AT1G71070	"S_5sp_contig40070; S_5sp_contig43555; S_alt_contig01039"
glycosyltransferase gene family	AT3G25140	S_5sp_contig41749
alpha/beta-Hydrolases superfamily protein	AT3G19970	"S_5sp_contig39368_RC; S_5sp_contig44118"
glycosyltransferase gene family	AT4G00300	S_alt_contig10816_RC
cytochrome P450 family	AT2G45580	S_5sp_contig42347_RC
alpha/beta-Hydrolases superfamily protein	AT3G48090	S_alt_contig09023
ABC transporter family	AT1G04120	"S_alt_contig05885_RC; S_alt_contig06317_RC"
glutathione S-transferase gene family	AT1G10360	"S_5sp_contig48963; S_5sp_contig50133"
glycosyltransferase gene family	AT5G05170	"S_alt_contig05503; S_alt_contig05504; S_alt_contig08772; S_alt_contig10411; S_alt_contig10806; S_alt_contig16526; S_alt_contig00311; S_alt_contig00906"
alpha/beta-Hydrolases superfamily protein	AT2G47630	S_mar_contig02951_RC
glycosyltransferase gene family	AT4G38240	"S_alt_contig00167_RC; S_alt_contig01104"
glycosyltransferase gene family	AT2G36770	S_5sp_contig22738
glycosyltransferase gene family	AT1G77810	S_5sp_contig44286_RC
glycosyltransferase gene family	AT5G20410	"S_alt_contig09381; S_alt_contig09382; S_alt_contig10393"
alpha/beta-Hydrolases superfamily protein	AT5G11650	S_5sp_contig40951
alpha/beta-Hydrolases superfamily protein	AT4G02340	"S_5sp_contig22781; S_alt_contig01564; S_alt_contig02172"
alpha/beta-Hydrolases superfamily protein	AT2G03140	S_alt_contig06586
glycosyltransferase gene family	AT1G78580	"S_alt_contig07444; S_alt_contig02054_RC"
glycosyltransferase gene family	AT5G64740	"S_alt_contig04013; S_alt_contig05245; S_alt_contig05246; S_alt_contig05799; S_alt_contig15062; S_alt_contig02212; S_5sp_contig05099"
ABC transporter family	AT3G28345	"S_5sp_contig40853; S_5sp_contig46151_RC"
glycosyltransferase gene family	AT1G78280	S_alt_contig02990
glycosyltransferase gene family	AT1G16900	S_5sp_contig29142
alpha/beta-Hydrolases superfamily protein	AT1G47480	S_5sp_contig50786
ABC transporter family	AT4G04770	S_alt_contig02463
glycosyltransferase gene family	AT1G11720	"S_alt_contig00625_RC; S_alt_contig01238"
alpha/beta-Hydrolases superfamily protein	AT4G25770	"S_5sp_contig41146_RC; S_5sp_contig41327_RC"
alpha/beta-Hydrolases superfamily protein	AT5G20060	"S_5sp_contig30696_RC; S_5sp_contig30697_RC; S_5sp_contig30698_RC; S_alt_contig01922_RC"
alpha/beta-Hydrolases superfamily protein	AT2G24280	S_5sp_contig44299
glycosyltransferase gene family	AT1G55850	S_5sp_contig38658
cytochrome P450 family	AT2G44890	S_5sp_contig45070
glycosyltransferase gene family	AT4G19900	"S_5sp_contig14942; S_5sp_contig14943; S_5sp_contig14946"
ABC transporter family	AT3G47740	S_alt_contig01620
glycosyltransferase gene family	AT2G37090	S_5sp_contig43702
glutathione S-transferase gene family	AT1G75270	S_5sp_contig33312
ABC transporter family	AT1G64550	"S_mar_contig02694; S_alt_contig00627_RC"
ABC transporter family	AT1G65410	"S_5sp_contig31848; S_5sp_contig43842"
cytochrome P450 family	AT3G14660	S_5sp_contig45425
ABC transporter family	AT5G02270	"S_5sp_contig32547; S_5sp_contig32549"
glycosyltransferase gene family	AT5G03770	S_5sp_contig41471
alpha/beta-Hydrolases superfamily protein	AT5G37710	S_5sp_contig41877
glycosyltransferase gene family	AT1G05570	"S_5sp_contig25762; S_5sp_contig38594_RC; S_5sp_contig39055; S_5sp_contig40215; S_alt_contig00186"
glycosyltransferase gene family	AT4G18240	"S_alt_contig07044; S_5sp_contig41360; S_5sp_contig45343; S_5sp_contig17812"
alpha/beta-Hydrolases superfamily protein	AT3G30380	"S_alt_contig08662; S_5sp_contig42514"
ABC transporter family	AT1G66950	"S_alt_contig05725; S_5sp_contig42106_RC; S_5sp_contig19440; S_alt_contig02869"
ABC transporter family	AT1G02520	"S_alt_contig04323; S_alt_contig02302"
alpha/beta-Hydrolases superfamily protein	AT1G10740	"S_5sp_contig29007; S_5sp_contig29009"
glutathione S-transferase gene family	AT3G55040	S_5sp_contig39641
glycosyltransferase gene family	AT3G59100	"S_alt_contig06346; S_5sp_contig48737"
ABC transporter family	AT5G64840	S_alt_contig05763
alpha/beta-Hydrolases superfamily protein	AT5G16120	S_alt_contig10041
ABC transporter family	AT3G55320	"S_alt_contig10403_RC; S_alt_contig10611; S_5sp_contig31254"
glycosyltransferase gene family	AT5G14850	"S_mar_contig08125_RC; S_mar_contig08126; S_5sp_contig42871_RC"
glycosyltransferase gene family	AT4G32410	"S_alt_contig04787; S_alt_contig09573; S_alt_contig12548; S_alt_contig12549; S_alt_contig12550; S_alt_contig00776; S_alt_contig03214"
alpha/beta-Hydrolases superfamily protein	AT5G36210	"S_alt_contig08337_RC; S_alt_contig12706; S_alt_contig00340_RC"
alpha/beta-Hydrolases superfamily protein	AT5G19850	S_5sp_contig42571
alpha/beta-Hydrolases superfamily protein	AT1G34340	"S_5sp_contig23344_RC; S_alt_contig01369"
glycosyltransferase gene family	AT3G61130	"S_mar_contig01568; S_alt_contig00795"
glycosyltransferase gene family	AT3G18660	"S_5sp_contig11461; S_5sp_contig11462"
ABC transporter family	AT3G10670	S_mar_contig08380
cytochrome P450 family	AT2G45550	"S_alt_contig04165; S_mar_contig01173"
ABC transporter family	AT5G39040	S_alt_contig08676
glycosyltransferase gene family	AT5G04500	"S_alt_contig07980; S_5sp_contig31668; S_alt_contig00981"
glycosyltransferase gene family	AT3G46970	"S_alt_contig05911; S_alt_contig00477_RC"
glutathione S-transferase gene family	AT5G16710	"S_mar_contig10448; S_5sp_contig41061"
glycosyltransferase gene family	AT3G45100	S_5sp_contig33741
alpha/beta-Hydrolases superfamily protein	AT3G23570	"S_5sp_contig26531; S_5sp_contig33687"
alpha/beta-Hydrolases superfamily protein	AT5G27320	S_alt_contig12572
ABC transporter family	AT4G33460	S_alt_contig08849
ABC transporter family	AT4G25450	S_5sp_contig29238
glycosyltransferase gene family	AT1G53290	S_5sp_contig00791_RC
glycosyltransferase gene family	AT2G20810	"S_alt_contig03890_RC; S_alt_contig08161_RC"
glycosyltransferase gene family	AT1G16570	"S_alt_contig12410_RC; S_5sp_contig04310; S_5sp_contig04325"
ABC transporter family	AT3G47780	S_alt_contig01469_RC
alpha/beta-Hydrolases superfamily protein	AT5G25770	S_alt_contig01240_RC
glutathione S-transferase gene family	AT2G30870	S_5sp_contig42637_RC
cytochrome P450 family	AT1G75130	S_5sp_contig41306
glycosyltransferase gene family	AT1G27600	"S_mar_contig03671_RC; S_5sp_contig36966; S_5sp_contig47677"
alpha/beta-Hydrolases superfamily protein	AT2G44970	"S_alt_contig04977; S_alt_contig04978"
glycosyltransferase gene family	AT1G70090	S_5sp_contig36088
alpha/beta-Hydrolases superfamily protein	AT3G51000	S_alt_contig04419
glycosyltransferase gene family	AT2G36750	"S_5sp_contig44705; S_5sp_contig48236"
alpha/beta-Hydrolases superfamily protein	AT5G38220	S_alt_contig10655
ABC transporter family	AT5G60790	"S_alt_contig06885_RC; S_alt_contig10407_RC; S_alt_contig12755_RC; S_alt_contig03305"
ABC transporter family	AT1G17840	"S_5sp_contig41811; S_5sp_contig43245; S_5sp_contig45412_RC"
alpha/beta-Hydrolases superfamily protein	AT1G74640	S_5sp_contig21951_RC
ABC transporter family	AT5G06530	S_5sp_contig29667
glycosyltransferase gene family	AT1G60140	"S_alt_contig11291_RC; S_alt_contig13753; S_alt_contig01992_RC; S_alt_contig02365_RC"
cytochrome P450 family	AT5G24910	"S_5sp_contig46578; S_alt_contig01593_RC"
ABC transporter family	AT1G54350	S_5sp_contig31428
glycosyltransferase gene family	AT3G07170	"S_alt_contig11933_RC; S_5sp_contig39314_RC; S_5sp_contig15586"
ABC transporter family	AT5G14100	S_5sp_contig39840_RC
alpha/beta-Hydrolases superfamily protein	AT1G80280	"S_5sp_contig40062_RC; S_alt_contig01563_RC"
cytochrome P450 family	AT3G13730	S_5sp_contig41681
cytochrome P450 family	AT2G45560	S_5sp_contig47691
glycosyltransferase gene family	AT5G47780	S_5sp_contig42351_RC
alpha/beta-Hydrolases superfamily protein	AT4G12230	S_5sp_contig39073_RC
alpha/beta-Hydrolases superfamily protein	AT4G19860	S_alt_contig09680
glycosyltransferase gene family	AT4G31780	S_5sp_contig46147
glycosyltransferase gene family	AT1G03520	S_5sp_contig48365
alpha/beta-Hydrolases superfamily protein	AT5G17670	S_5sp_contig33228
alpha/beta-Hydrolases superfamily protein	AT5G51180	"S_alt_contig10559_RC; S_5sp_contig30351; S_5sp_contig41607; S_alt_contig03349"
glycosyltransferase gene family	AT1G05680	S_5sp_contig34074
alpha/beta-Hydrolases superfamily protein	AT3G61540	S_alt_contig13168
alpha/beta-Hydrolases superfamily protein	AT5G18640	"S_alt_contig08272; S_alt_contig09726; S_5sp_contig29457_RC; S_5sp_contig29459_RC; S_5sp_contig39557; S_5sp_contig43387; S_alt_contig02864; S_alt_contig03079; S_alt_contig03367"
cytochrome P450 family	AT3G53130	S_alt_contig03941
